Tªn yÕu quyÕt	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Sè thø tù mËt tŞch	L­u	id kü n¨ng (dïng ph¸n ®o¸n lo¹i trõ)	L­u2	L­u3	L­u4	L­u5	L­u6	L­u7	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)8	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	L­u ( Ch÷ sè)9	L­u ph¸i (L­u ph¸i id. Kh«ng ®iÒn hoÆc mÆc ®Şnh sè nhá h¬n 0 ®Òu cã thÓ t¶i)	L­u ( Ch÷ sè)10	Column11
Mª X¶o quyÕt	2	6	236	1	1	1	236	7	1225									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Mª X¶o quyÕt<color><enter>Tû lÖ v« hiÖu hçn lo¹n t¨ng [<color=Gold>50<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch c«ng kİch 		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
Tiªn L­ H­¬ng quyÕt	2	6	237	1	1	1	237	8	1226									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Tiªn L­ H­¬ng quyÕt<color><enter>Gi·n c¸ch sö dông rót ng¾n [<color=Gold>45<color=White>] gi©y <color=Blue1>x<color=White> t¨ng hç trî mËt tŞch c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
B¸ch §iÖp Nghªnh H­¬ng quyÕt	2	6	238	1	1	1	238	9	1227									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>B¸ch §iÖp Nghªnh H­¬ng quyÕt<color><enter>Ph¹m vi s¸t th­¬ng më réng [<color=Gold>9<color=White>] « <color=Blue1>x<color=White> t¨ng mËt tŞch c«ng kİch ngo¹i c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
§iÖp LuyÕn Hoa quyÕt	2	6	239	1	1	1	239	10	1228									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>§iÖp LuyÕn Hoa quyÕt<color><enter>Phßng ngù néi ngo¹i c«ng t¨ng [<color=Gold>100<color=White>]<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
Ngäc Long Xuyªn NguyÖt quyÕt	2	6	240	1	1	1	240	11	1229									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>Ngäc Long Xuyªn NguyÖt quyÕt<color><enter>XuÊt chiÕu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> MËt tŞch tÊn c«ng ngo¹i c«ng t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		30		
Linh Lung Thİch quyÕt	2	6	241	1	1	1	241	1										\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>Linh Lung Thİch quyÕt<color><enter>XuÊt chiÕu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> MËt tŞch tÊn c«ng ngo¹i c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
Linh Tª Truy MÖnh quyÕt	2	6	242	1	1	1	242	2										\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>Linh Tª Truy MÖnh quyÕt<color><enter>Sau khi tróng cã [<color=Gold>10<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng   Tû lÖ khiÕn môc tiªu §Şnh Th©n 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
S¸t ı quyÕt	2	6	243	1	1	1	243	3										\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>S¸t ı quyÕt<color><enter>Tèc ®é xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>?<color=White> hç trî c«ng kİch mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
Bİch L¹c NhÉn quyÕt	2	6	244	1	1	1	244	4										\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Bİch L¹c NhÉn quyÕt<color><enter>Sau khi tróng cã [<color=Gold>25<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng   Tû lÖ hoµn tr¶ 3 ®iÓm S¸t ı		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
Kinh Hång §o¹n quyÕt	2	6	245	1	1	1	245	5										\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Kinh Hång §o¹n quyÕt<color><enter>Gi·n c¸ch thêi gian rót ng¾n [<color=Gold>5<color=White>] gi©y <color=Blue1>#<color=White> t¨ng hç trî mËt tŞch c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
Thª Phong §o¹t quyÕt	2	6	246	1	1	1	246	6										\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Thª Phong §o¹t quyÕt<color><enter>Gi¶m tû lÖ phßng ngù ngo¹i c«ng ®èi ph­¬ng trong 10 gi©y [<color=Gold>25<color=White>]%<color=Blue1>x<color=White> C«ng kİch ngo¹i c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
Hçn §én §Êu Ph¸ch quyÕt	2	6	247	1	1	1	247	7										\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Hçn §én §Êu Ph¸ch quyÕt<color><enter>Gi¶m thêi gian gi·n c¸ch  [<color=Gold>15<color=White>] gi©y <color=Blue1>x<color=White>  Hç trî tÊn c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
To¸i Méng B¨ng quyÕt	2	6	248	1	1	1	248	8										\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>To¸i Méng B¨ng quyÕt<color><enter>Khi thi triÓn c«ng kİch ngo¹i c«ng t¨ng [<color=Gold>25<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
L­u Tinh C¶n NguyÖt quyÕt	2	6	249	1	1	1	249	9										\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>L­u Tinh C¶n NguyÖt quyÕt<color><enter>T¨ng tû lÖ xuyªn qua cña ®¹n [<color=Gold>100<color=White>]%<color=Blue1>?<color=White> hç trî c«ng kİch mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
Yªn Vò Mª Li quyÕt	2	6	250	1	1	1	250	10										\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Yªn Vò Mª Li quyÕt<color><enter>Tû lÖ gi¸n ®o¹n khi dïng kü n¨ng gi¶m [<color=Gold>100<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng<enter>Tû lÖ gi¶m nöa s¸t th­¬ng ph¶i chŞu t¨ng [<color=Gold>25<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		31		999
Tµn V©n KiÕm Canh quyÕt	2	6	251	1	1	1	251	1										\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=gold>Tµn V©n KiÕm Canh quyÕt<color><enter>Dïng x¸c suÊt néi ngo¹i c«ng khiÕn phßng ngù trong 10 gi©y gi¶m [<color=Gold>25<color=White>]%<color=Blue1> ?<color=White>tÊn c«ng Ngo¹i C«ng MËt TŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
Nh©n KiÕm Hîp NhÊt quyÕt	2	6	252	1	1	1	252	2										\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>Nh©n KiÕm Hîp NhÊt quyÕt<color><enter>Tèc ®é tÊn c«ng t¨ng [<color=Gold>20<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
LuyÖn KiÕm-Sİ Hµn quyÕt	2	6	253	1	1	1	253	3										\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>LuyÖn KiÕm-Sİ Hµn quyÕt<color><enter>Tû lÖ xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>?<color=White> c«ng kİch néi c«ng mËt tŞch t¨ng <enter>KĞo dµi thêi gian duy tr× [<color=Gold>25<color=White>]%<color=Blue1>?<color=White> c«ng kİch néi c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
§o¹n Thñy KiÕm Canh quyÕt	2	6	254	1	1	1	254	4										\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>§o¹n Thñy KiÕm Canh quyÕt<color><enter>§o¹n Thñy KiÕm Canh: KiÕm khİ khiÕn kÎ thï tæn hao thÓ lùc [<color=Gold>5<color=White>]%<color=Blue1>?<color=White> c«ng kİch néi c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
LuyÖn KiÕm-Thiªn Minh quyÕt	2	6	255	1	1	1	255	5										\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>LuyÖn KiÕm-Thiªn Minh quyÕt<color><enter>Tû lÖ xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>?<color=White> c«ng kİch néi c«ng mËt tŞch t¨ng <enter>KĞo dµi thêi gian duy tr× [<color=Gold>25<color=White>]%<color=Blue1>?<color=White> c«ng kİch néi c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
Linh KiÕm TriÖu Håi quyÕt	2	6	256	1	1	1	256	6										\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Linh KiÕm TriÖu Håi quyÕt<color><enter>Linh KiÕm TriÖu Håi: Sau khi thi triÓn sÏ nhËn 1 thuÉn hÊp thu [<color=Gold>1000<color=White>]<color=Blue1>?<color=White> hç trî c«ng kİch mËt tŞch t¨ng  s¸t th­¬ng, duy tr× 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
LuyÖn KiÕm-Phong CËn quyÕt	2	6	257	1	1	1	257	7										\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>LuyÖn KiÕm-Phong CËn quyÕt<color><enter>Tû lÖ xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng<enter>KĞo dµi thêi gian duy tr× [<color=Gold>25<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
B¹o L«i KiÕm Canh quyÕt	2	6	258	1	1	1	258	8										\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>B¹o L«i KiÕm Canh quyÕt<color><enter>TÊn c«ng b¶n thÓ g©y thªm [<color=Gold>20<color=White>]%<color=Blue1>?<color=White> c«ng kİch ngo¹i c«ng mËt tŞch t¨ng   Tû lÖ TĞ Ng·		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
KiÕm ı X¹ quyÕt	2	6	259	1	1	1	259	9										\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>KiÕm ı X¹ quyÕt<color><enter>KĞo dµi thêi gian duy tr× [<color=Gold>100<color=White>]%<color=Blue1>?<color=White> hç trî c«ng kİch mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
KiÕm Thñ Kh«ng Minh quyÕt	2	6	260	1	1	1	260	10										\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>KiÕm Thñ Kh«ng Minh quyÕt<color><enter>Gi¶m tèc ®é xuÊt chiªu cña kÎ thï [<color=Gold>25<color=White>]%<color=Blue1>?<color=White> hç trî c«ng kİch mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
Håi Phong KiÕm Canh quyÕt	2	6	261	1	1	1	261	11										\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Håi Phong KiÕm Canh quyÕt<color><enter>Thêi gian gi·n c¸ch gi¶m  [<color=Gold>15<color=White>] gi©y<color=Blue1>?<color=White> c«ng kİch néi c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		32		999
Hãa-Tr¶m Ma §ao Ph¸p quyÕt	2	6	262	1	1	1	262		24									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	<color=gold>Hãa-Tr¶m Ma §ao Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Tû lÖ xua tan t¨ng 10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
Ph¸-Tr¶m Ma §ao Ph¸p quyÕt	2	6	263	1	1	1	263		24									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	<color=gold>Ph¸-Tr¶m Ma §ao Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Khi tÊn c«ng cã <color=Gold>25%<color=White> t¨ng <color=Gold>10%<color=White> tÊn c«ng ngo¹i cña b¶n th©n, duy tr× 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
Ph¶n-ThiÕu L©m §ao Ph¸p quyÕt	2	6	264	1	1	1	264		22									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	<color=gold>Ph¶n-ThiÕu L©m §ao Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Néi ngo¹i c«ng ph¶n s¸t th­¬ng <color=Gold>10%<color=White>, thi triÓn Tr¶m Ma §ao Ph¸p cã <color=Gold>10%<color=White> tû lÖ ¸p chÕ kÎ thï 1 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
Ph¸-ThiÕu L©m §ao Ph¸p quyÕt	2	6	265	1	1	1	265		22									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	<color=gold>Ph¸-ThiÕu L©m §ao Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>TÊn c«ng ngo¹i t¨ng <color=Gold>10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
Hãa-Nhiªn Méc §ao Ph¸p quyÕt	2	6	266	1	1	1	266		27									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	<color=gold>Hãa-Nhiªn Méc §ao Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Tû lÖ xua tan t¨ng 10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
Phong-Nhiªn Méc §ao Ph¸p quyÕt	2	6	267	1	1	1	267		27									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	<color=gold>Phong-Nhiªn Méc §ao Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Cã <color=Gold>10%<color=White> khiÕn kÎ thï bŞ ¸p chÕ 3 giÊy		QuyÕt YÕu	\script\item\addenda.lua	7	0		2		
Ph¸-§µ L«i Ph¸ quyÕt	2	6	268	1	1	1	268		51									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	<color=gold>Ph¸-§µ L«i Ph¸ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Cã <color=Gold>80%<color=White> tû lÖ khiÕn néi kİch b¶n th©n t¨ng <color=Gold>20%<color=White>, duy tr× 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
TÊn-S­ Tö Hèng quyÕt	2	6	269	1	1	1	269		54									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	<color=gold>TÊn-S­ Tö Hèng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter>Rót ng¾n gi·n c¸ch sö dông vâ c«ng <color=Gold>10<color=White> gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Ngù-ThiÕu L©m Tu T©m Ph¸p quyÕt	2	6	270	1	1	1	270		47									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	<color=gold>Ngù-ThiÕu L©m Tu T©m Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>Tû lÖ néi lùc triÖt tiªu s¸t th­¬ng t¨ng <color=Gold>15%		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
TÊn-ThiÕu L©m Tu T©m Ph¸p quyÕt	2	6	271	1	1	1	271		47									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	<color=gold>TÊn-ThiÕu L©m Tu T©m Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Tèc ®é xuÊt chiªu Phôc Hæ Khİ K×nh, §µ L«i Ph¸, Cµ Sa Phôc Ma thÇn c«ng, §¹i Lùc Kim Cang ChØ, S­ Tö Hèng t¨ng <color=Gold>50%		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Ph¸-Cµ Sa Phôc Ma ThÇn C«ng quyÕt	2	6	272	1	1	1	272		52									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	<color=gold>Ph¸-Cµ Sa Phôc Ma ThÇn C«ng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter>XuÊt chiªu xong néi kİch t¨ng <color=Gold>10%<color=White>, duy tr× <color=Gold>10<color=White> gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
§Şnh-BÊt §éng Minh V­¬ng Chó quyÕt	2	6	273	1	1	1	273		55									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	<color=gold>§Şnh-BÊt §éng Minh V­¬ng Chó quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter>Thêi gian ®Şnh th©n t¨ng 1 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
TÊn-V« ¶nh C­íc quyÕt	2	6	274	1	1	1	274		42									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	<color=gold>TÊn-V« ¶nh C­íc quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Sau khi dïng kı n¨ng cã <color=Gold>50%<color=White> tû lÖ phôc håi 1 « né khİ		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
TÊn-V¨n Thï XuÊt V©n Thèi quyÕt	2	6	275	1	1	1	275		39									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	<color=gold>TÊn-V¨n Thï XuÊt V©n Thèi quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Tû lÖ néi ngo¹i phßng cña b¶n th©n gi¶m <color=Gold>5%<color=White>, sau khi dïng kı n¨ng cã <color=Gold>60%<color=White> tû lÖ håi phôc 2 « Né khİ		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
TÊn-Ca DiÖp Thèi quyÕt	2	6	276	1	1	1	276		36									\image\item\book\¸ß¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\¸ß¼¶ĞÂ¾÷Òªa0.spr	<color=gold>TÊn-Ca DiÖp Thèi quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Sau khi dïng kı n¨ng cã <color=Gold>100%<color=White> tû lÖ phôc håi 1 « né khİ		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
TÊn-ThiÕu L©m Long Tr¶o Thñ quyÕt	2	6	277	1	1	1	277		43									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	<color=gold>TÊn-ThiÕu L©m Long Tr¶o Thñ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Gi·n c¸ch sö dông vâ c«ng rót ng¾n <color=Gold>15<color=White> gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
TÊn-ThÊt B¶o ChiÕu Ph¸p quyÕt	2	6	278	1	1	1	278		34									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	<color=gold>TÊn-ThÊt B¶o ChiÕu Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>Hç trî c«ng kİch<enter><enter>Mçi lÇn tô khİ håi phôc 1 « né khİ		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
Ng­ng-§¹i Tu Di Ch­ëng quyÕt	2	6	279	1	1	1	279		41									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	<color=gold>Ng­ng-§¹i Tu Di Ch­ëng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter>Tû lÖ xuÊt chiªu 1 t¨ng <color=Gold>10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
Ng­ng-Truy T©m TiÔn quyÕt	2	6	280	1	1	1	280		65									\image\item\book\µÍ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\µÍ¼¶ĞÂ¾÷Òªa0.spr	<color=gold>Ng­ng-Truy T©m TiÔn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Tû lÖ xuÊt chiªu 1 t¨ng <color=Gold>10%		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Ph¸-T©m Nh·n quyÕt	2	6	281	1	1	1	281		60									\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa1.spr	\image\item\book\ÖĞ¼¶ĞÂ¾÷Òªa0.spr	<color=gold>Ph¸-T©m Nh·n quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch, <color=Gold>Gi¸ trŞ næi bËt chŞu ¶nh h­ëng cña ®é tu luyÖn mËt tŞch<color=White><enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter>Truy T©m TiÔn cã <color=Gold>10%<color=White> tû lÖ kÌm hiÖu qu¶ Tróng §éc, khiÕn kÎ ®Şch mçi gi©y chŞu <color=Gold>5000<color=White> s¸t th­¬ng, duy tr× 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
