Tªn M·o	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tÝnh hç trî 1	TrÞ sè Thuéc tÝnh hç trî 1	Thuéc tÝnh hç trî 2	TrÞ sè Thuéc tÝnh hç trî 2	Sè trang bÞ	§¾ng cÊp yªu cÇu	Giíi tÝnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàÐÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thÞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dÞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chÝ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm	Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27	Column28	Column29	Column30	Column31	Column32	Column33	Column34	Column35	Column36	Column37	Column38	Column39	Column40	Column41	Column42	Column43	Column44	Column45	Column46	Column47	Column48	Column49	Column50	Column51	Column52	Column53	Column54	Column55	Column56	Column57	Column58	Column59	Column60	Column61	Column62	Column63	Column64	Column65	Column66
Thiªn Phong Thóc tr©m	0	103	65	40	3064	0	100	21;8						47	2	4		\image\item\cap\fm2_cap_011a1.spr	\image\item\cap\fm2_cap_011a0.spr	<color=gold>Thiªn Phong Thóc tr©m<color><enter>C¸c thiÕu n÷ Liªu bang th­êng mang, trong th­êng chøa ®éc d­îc.	½¿Ð¡Å®Í·²¿012	M·o		4	0	0		0																																																																							
V©n Méng Thoa	0	103	66	20	3302	0	85	8;21						48	2	4		\image\item\cap\fm2_cap_012a1.spr	\image\item\cap\fm2_cap_012a0.spr	<color=gold>V©n Méng Thoa<color><enter>TÝn vËt cña ch­ëng m«n Thóy yªn bÞ thÊt l¹c	½¿Ð¡Å®Í·²¿006	M·o		4	0	0		0																																																																							
Phi §iÓu	0	103	67	50	5074	0	130	23;8						55	2	4		\image\item\cap\fm2_cap_013a1.spr	\image\item\cap\fm2_cap_013a0.spr	<color=gold>Phi §iÓu<color><enter>B¶o vËt mang vÒ tõ ph­¬ng T©y! Quý gi¸ v« song	½¿Ð¡Å®Í·²¿013	M·o		5	0	0		0																																																																							
Hång Cèc	0	103	68	25	5402	0	110	8;23						56	2	4		\image\item\cap\fm2_cap_014a1.spr	\image\item\cap\fm2_cap_014a0.spr	<color=gold>Hång Cèc<color><enter>Lµm tõ san h«, trÞ ®­îc b¸ch ®éc	½¿Ð¡Å®Í·²¿015	M·o		5	0	0		0																																																																							
B¶o T­îng	0	103	69	60	8260	0	160	24;9						64	2	4		\image\item\cap\fm2_cap_015a1.spr	\image\item\cap\fm2_cap_015a0.spr	<color=gold>B¶o T­îng<color><enter>B¶o vËt do n­íc §¹i Thùc cèng cho §­êng triÒu	½¿Ð¡Å®Í·²¿009	M·o		6	0	0		0																																																																							
Phong L«i	0	103	70	30	8605	0	140	9;24						65	2	4		\image\item\cap\fm2_cap_016a1.spr	\image\item\cap\fm2_cap_016a0.spr	<color=gold>Phong L«i<color><enter>Cã thÓ gäi sÊm sÐt trõ tµ ma	½¿Ð¡Å®Í·²¿017	M·o		6	0	0		0																																																																							
Vu Hµm	0	103	71	70	12923	0	200	26;12						72	2	4		\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	<color=gold>Vu Hµm<color><enter>Chøa nhiÒu linh lùc. Khö ®­îc nhiÒu lo¹i ®éc ®­îc	½¿Ð¡Å®Í·²¿014	M·o		7	0	0		0																																																																							
Tr­êng sinh	0	103	72	35	13863	0	175	12;26						73	2	4		\image\item\cap\fm2_cap_018a1.spr	\image\item\cap\fm2_cap_018a0.spr	<color=gold>Tr­êng sinh<color><enter>Ng­êi mang vµo nh­ trÎ l¹i h¬n 10 tuæi	½¿Ð¡Å®Í·²¿018	M·o		7	0	0		0																																																																							
B¸ch ChiÕn	0	103	73	60	14000	0	200	30;14						86	1	1		\image\item\cap\°ÙÕ½a1.spr	\image\item\cap\°ÙÕ½a0.spr	<color=gold>B¸ch ChiÕn<color><enter>B¸ch ChiÕn Qu¸n, khÝ thÕ hiªn ngang ngÊt ng­ìng.	±ê×¼ÄÐÍ·²¿8¼¶Íâ	M·o		8	0	0		0																																																																							
¤ Bµn	0	103	74	60	14000	0	200	30;14						86	1	2		\image\item\cap\ÎÚÅÍa1.spr	\image\item\cap\ÎÚÅÍa0.spr	<color=gold>¤ Bµn<color><enter>C¸i kh«i ®­îc lµm tõ ¤ Kim Th¹ch, cøng c¸p vµ v÷ng nh­ th¹ch bµn, chuyªn hÊp thô vÕt th­¬ng chÝ m¹ng.	¿ýÎàÄÐÍ·²¿8¼¶Íâ	M·o		8	0	0		0																																																																							
Häa Hu©n	0	103	75	60	14000	0	200	30;14						86	2	3		\image\item\cap\»­Ñ¬a1.spr	\image\item\cap\»­Ñ¬a0.spr	<color=gold>Häa Hu©n<color><enter>Tr©m cµi bu«ng rò xuèng tãc, yÓu ®iÖu nh­ hu©n phong nhËp huyÒn, c¶nh ®Ñp nh­ tranh.	ÐÔ¸ÐÅ®Í·²¿8¼¶Íâ	M·o		8	0	0		0																																																																							
Phiªn TuyÕt	0	103	76	60	14000	0	200	30;14						86	2	4		\image\item\cap\ôæÑ©a1.spr	\image\item\cap\ôæÑ©a0.spr	<color=gold>Phiªn TuyÕt<color><enter>Trang søc ®­îc lµm tõ nhung tuyÕt, vÊn trªn tãc nh­ b«ng tuyÕt, táa h­¬ng th¬m nhÑ, ®Ñp lung linh.	½¿Ð¡Å®Í·²¿8¼¶Íâ	M·o		8	0	0		0																																																																							
HuyÒn Vò	0	103	77	60	14000	0	200	14;30						87	1	1		\image\item\cap\ÐþÓða1.spr	\image\item\cap\ÐþÓða0.spr	<color=gold>HuyÒn Vò<color><enter>Lµm tõ l«ng vò ®en tuyÒn, ãng ¸nh méc m¹c. Chãp nhän mµ ®¸y s©u, dµy.	±ê×¼ÄÐÍ·²¿8¼¶ÄÚ	M·o		8	0	0		0																																																																							
Cöu Anh	0	103	78	60	14000	0	200	14;30						87	1	2		\image\item\cap\¾ÅÓ¤a1.spr	\image\item\cap\¾ÅÓ¤a0.spr	<color=gold>Cöu Anh<color><enter>Lµm tõ t¬ L­u Kim, rÊt bÒn ch¾c, chèng ®ì ®­îc s¸t th­¬ng néi gia.	¿ýÎàÄÐÍ·²¿8¼¶ÄÚ	M·o		8	0	0		0																																																																							
Yªn Hoa	0	103	79	60	14000	0	200	14;30						87	2	3		\image\item\cap\æÌ»¨a1.spr	\image\item\cap\æÌ»¨a0.spr	<color=gold>Yªn Hoa<color><enter>C©y thoa h×nh d¸ng mét b«ng hoa xinh ®Ñp, rung rinh tr­íc giã, t«n thªm nÐt uyÓn ®iÖu thôc n÷.	ÐÔ¸ÐÅ®Í·²¿8¼¶ÄÚ	M·o		8	0	0		0																																																																							
Yªn Méng	0	103	80	60	14000	0	200	14;30						87	2	4		\image\item\cap\ÑÌÂÜa1.spr	\image\item\cap\ÑÌÂÜa0.spr	<color=gold>Yªn Méng<color><enter>Trang søc lµm b»ng t¬ Thiªn TÇm, ®Ñp tinh x¶o	½¿Ð¡Å®Í·²¿8¼¶ÄÚ	M·o		8	0	0		0																																																																							
Lôc Ly	0	103	81	60	20000	0	200	24;24						96	1	1		\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	<color=gold>Lôc Ly<color><enter>Vò qu¸n rùc rì h×nh chãp, lµ qu¸n KhuÊt Nguyªn dïng khi chu du giang hå, kh¸ng thñy, háa vµ kú ®éc.	±ê×¼ÄÐÍ·²¿9¼¶	M·o		9	0	0		0																																																																							
Thôc Quû	0	103	82	60	20000	0	200	24;24						96	1	2		\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	<color=gold>Thôc Quû<color><enter>LÊy m¸u cña quû Thôc §¹o kÕt víi tãc ®á, t¸c dông lµm ma quû khiÕp sî, kh¸ng khÝ bÊt th­êng.	¿ýÎàÄÐÍ·²¿9¼¶	M·o		9	0	0		0																																																																							
Phó Vò	0	103	83	60	20000	0	200	24;24						96	2	3		\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	<color=gold>Phó Vò<color><enter>Trang søc lµm tõ Dao Ngäc, cã ®Ýnh chuçi h¹t l­u ly, tr«ng rÊt th­ít tha.	ÐÔ¸ÐÅ®Í·²¿9¼¶	M·o		9	0	0		0																																																																							
¶m NguyÖt	0	103	84	60	20000	0	200	24;24						96	2	4		\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	<color=gold>¶m NguyÖt<color><enter>Trang søc lµm tõ gi¸ng sa, lung linh huyÒn ¶o.	½¿Ð¡Å®Í·²¿9¼¶	M·o		9	0	0		0																																																																							
Thiªn §Þa HuyÒn Hoµng Kh«i	0	103	85	30	30000	0	200	26;26						70	1	1		\image\item\cap\ÄÐ»Æ½ð¿øa1.spr	\image\item\cap\ÄÐ»Æ½ð¿øa0.spr	<color=gold>Thiªn §Þa HuyÒn Hoµng Kh«i<color><enter>Thiªn ®Þa HuyÒn Hoµng, vò trô hång hoang, v¹n vËt biÕn hãa, kh«i nµy còng biÕn hãa øng víi Thiªn §¹o, cã søc m¹nh v« h¹n.	±ê×¼ÄÐ»Æ½ð¿ø	M·o		9	0	1		0																																																																							
Thiªn §Þa HuyÒn Hoµng Kh«i	0	103	86	30	30000	0	200	26;26						70	1	2		\image\item\cap\ÄÐ»Æ½ð¿øa1.spr	\image\item\cap\ÄÐ»Æ½ð¿øa0.spr	<color=gold>Thiªn §Þa HuyÒn Hoµng Kh«i<color><enter>Thiªn ®Þa HuyÒn Hoµng, vò trô hång hoang, v¹n vËt biÕn hãa, kh«i nµy còng biÕn hãa øng víi Thiªn §¹o, cã søc m¹nh v« h¹n.	¿ýÎàÄÐ»Æ½ð¿ø	M·o		9	0	1		0																																																																							
Thiªn §Þa HuyÒn Hoµng Kh«i	0	103	87	30	30000	0	200	26;26						70	2	3		\image\item\cap\Å®»Æ½ð¿øa1.spr	\image\item\cap\Å®»Æ½ð¿øa0.spr	<color=gold>Thiªn §Þa HuyÒn Hoµng Kh«i<color><enter>Thiªn ®Þa HuyÒn Hoµng, vò trô hång hoang, v¹n vËt biÕn hãa, kh«i nµy còng biÕn hãa øng víi Thiªn §¹o, cã søc m¹nh v« h¹n.	ÐÔ¸ÐÅ®»Æ½ð¿ø	M·o		9	0	1		0																																																																							
Thiªn §Þa HuyÒn Hoµng Kh«i	0	103	88	30	30000	0	200	26;26						70	2	4		\image\item\cap\Å®»Æ½ð¿øa1.spr	\image\item\cap\Å®»Æ½ð¿øa0.spr	<color=gold>Thiªn §Þa HuyÒn Hoµng Kh«i<color><enter>Thiªn ®Þa HuyÒn Hoµng, vò trô hång hoang, v¹n vËt biÕn hãa, kh«i nµy còng biÕn hãa øng víi Thiªn §¹o, cã søc m¹nh v« h¹n.	½¿Ð¡Å®»Æ½ð¿ø	M·o		9	0	1		0																																																																							
ThiÕu HiÖp C©n	0	108	1	10	0	0	10							1	1	1		\image\item\cap\man1_cap_001a1.spr	\image\item\cap\man1_cap_001a0.spr	<color=gold>ThiÕu HiÖp C©n<color><enter>Lo¹i kh¨n quÊn th«ng th­êng, rÊt dÔ mua	±ê×¼ÄÐÍ·²¿001	§· khãa		1	2	1		0																																																																							
Phong Vò C©n	0	108	2	10	0	0	10							1	1	1		\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	<color=gold>Phong Vò C©n<color><enter>Anh hïng hiÖp kh¸ch th­êng sö dông. Quý ph¸i l¹ th­êng	±ê×¼ÄÐÍ·²¿002	§· khãa		1	2	1		0																																																																							
Anh Hïng C©n	0	108	3	10	0	0	10							1	1	1		\image\item\cap\man1_cap_003a1.spr	\image\item\cap\man1_cap_003a0.spr	<color=gold>Anh Hïng C©n<color><enter>Ng­êi mang vµo nh­ ®­îc trî thªm khÝ ph¸ch	±ê×¼ÄÐÍ·²¿003	§· khãa		1	2	1		0																																																																							
CÈm Bè c©n	0	108	4	10	0	0	10							1	1	1		\image\item\cap\man1_cap_004a1.spr	\image\item\cap\man1_cap_004a0.spr	<color=gold>CÈm Bè c©n<color><enter>Dïng ®Ó bói tãc, rò ra phÝa sau rÊt ®Ñp	±ê×¼ÄÐÍ·²¿012	§· khãa		1	2	1		0																																																																							
M·n NguyÖt L¹p	0	108	5	10	0	0	10							1	1	1		\image\item\cap\man1_cap_005a1.spr	\image\item\cap\man1_cap_005a0.spr	<color=gold>M·n NguyÖt L¹p<color><enter>Dïng ®Ó ®i trong giã tuyÕt	±ê×¼ÄÐÍ·²¿004	§· khãa		1	2	1		0																																																																							
Kim Phong Qu¸n	0	108	6	10	0	0	10							1	1	1		\image\item\cap\man1_cap_006a1.spr	\image\item\cap\man1_cap_006a0.spr	<color=gold>Kim Phong Qu¸n<color><enter>ThuÇn ng©n chÕ thµnh. Kh¶m nhiÒu B¶o Th¹ch cùc quý.	±ê×¼ÄÐÍ·²¿008	§· khãa		1	2	1		0																																																																							
M«ng DiÖn C©n	0	108	7	10	0	0	10							1	1	1		\image\item\cap\man1_cap_007a1.spr	\image\item\cap\man1_cap_007a0.spr	<color=gold>M«ng DiÖn C©n<color><enter>Che nöa khu«n mÆt! C¸c hiÖp kh¸ch th­êng dïng khi hµnh hiÖp	±ê×¼ÄÐÍ·²¿015	§· khãa		1	2	1		0																																																																							
Hoa D­¬ng c©n	0	108	8	10	0	0	10							1	1	1		\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	<color=gold>Hoa D­¬ng c©n<color><enter>Lµm tõ t¬ b¨ng tµm ngµn n¨m, bÒn ch¾c v« song	±ê×¼ÄÐÍ·²¿010	§· khãa		1	2	1		0																																																																							
ThiÕt TuyÕn L¹p	0	108	9	10	0	0	10							1	1	1		\image\item\cap\man1_cap_009a1.spr	\image\item\cap\man1_cap_009a0.spr	<color=gold>ThiÕt TuyÕn L¹p<color><enter>ChÕ tõ tinh thiÕt. Chèng ®­îc cung tªn rÊt hiÖu qu¶	±ê×¼ÄÐÍ·²¿005	§· khãa		1	2	1		0																																																																							
DËt Èn Qu¸n	0	108	10	10	0	0	10							1	1	1		\image\item\cap\man1_cap_010a1.spr	\image\item\cap\man1_cap_010a0.spr	<color=gold>DËt Èn Qu¸n<color><enter>Mïi h­¬ng xua ®uæi tÊt c¶ c¸c lo¹i ®éc trïng	±ê×¼ÄÐÍ·²¿007	§· khãa		1	2	1		0																																																																							
Hång L¨ng C©n	0	108	11	10	0	0	10							1	1	1		\image\item\cap\man1_cap_011a1.spr	\image\item\cap\man1_cap_011a0.spr	<color=gold>Hång L¨ng C©n<color><enter>Mïi th¬m cña kh¨n lµm mÊt t¸c dông cña c¸c lo¹i mª h­¬ng d­îc.	±ê×¼ÄÐÍ·²¿016	§· khãa		1	2	1		0																																																																							
Hµng V©n Thóc ®¸i	0	108	12	10	0	0	10							1	1	1		\image\item\cap\man1_cap_012a1.spr	\image\item\cap\man1_cap_012a0.spr	<color=gold>Hµng V©n Thóc ®¸i<color><enter>Dïng ®Ó bói tãc tr­íc khi chiÕn ®Êu	±ê×¼ÄÐÍ·²¿013	§· khãa		1	2	1		0																																																																							
Thanh Sa Nh·n Tr¸o	0	108	13	10	0	0	10							1	1	1		\image\item\cap\man1_cap_013a1.spr	\image\item\cap\man1_cap_013a0.spr	<color=gold>Thanh Sa Nh·n Tr¸o<color><enter>B¶o vÖ cho m¾t. ThÝch hîp chiÕn ®Êu	±ê×¼ÄÐÍ·²¿017	§· khãa		1	2	1		0																																																																							
XÝch Tinh Nh·n Tr¸o	0	108	14	10	0	0	10							1	1	1		\image\item\cap\man1_cap_014a1.spr	\image\item\cap\man1_cap_014a0.spr	<color=gold>XÝch Tinh Nh·n Tr¸o<color><enter>NhÑ nh­ c¸nh chuån chuån. Mµu ®á khiÕn ®èi ph­¬ng ho¶ng sî	±ê×¼ÄÐÍ·²¿011	§· khãa		1	2	1		0																																																																							
Phi V©n L¹p	0	108	15	10	0	0	10							1	1	1		\image\item\cap\man1_cap_015a1.spr	\image\item\cap\man1_cap_015a0.spr	<color=gold>Phi V©n L¹p<color><enter>KÕt b»ng tinh thiÕt. Phßng ngù cùc tèt	±ê×¼ÄÐÍ·²¿006	§· khãa		1	2	1		0																																																																							
TuyÖt B¶o Qu¸n	0	108	16	10	0	0	10							1	1	1		\image\item\cap\man1_cap_016a1.spr	\image\item\cap\man1_cap_016a0.spr	<color=gold>TuyÖt B¶o Qu¸n<color><enter>Kh¶m nhiÒu B¶o Th¹ch quý hiÕm. Gióp c¬ thÓ phôc håi sinh khÝ	±ê×¼ÄÐÍ·²¿014	§· khãa		1	2	1		0																																																																							
S¬n Quû DiÖn	0	108	17	10	0	0	10							1	1	1		\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	<color=gold>S¬n Quû DiÖn<color><enter>MÒm dÎo nh­ng ch¾c ch¾n. ThÝch hîp chiÕn ®Êu	±ê×¼ÄÐÍ·²¿018	§· khãa		1	2	1		0																																																																							
MËt ThÇn qu¸n	0	108	18	10	0	0	10							1	1	1		\image\item\cap\man1_cap_018a1.spr	\image\item\cap\man1_cap_018a0.spr	<color=gold>MËt ThÇn qu¸n<color><enter>§éi vµo cã thÓ linh c¶m ®­îc ®iÒu hiÓm nguy s¾p x¶y ra	±ê×¼ÄÐÍ·²¿009	§· khãa		1	2	1		0																																																																							
HiÖp ThiÕu bè c©n	0	108	19	10	0	0	10							1	1	2		\image\item\cap\man2_cap_001a1.spr	\image\item\cap\man2_cap_001a0.spr	<color=gold>HiÖp ThiÕu bè c©n<color><enter>Dïng ®Ó bói tãc khi luyÖn v«ng	¿ýÎàÄÐÍ·²¿004	§· khãa		1	2	1		0																																																																							
H¾c CÈm bè c©n	0	108	20	10	0	0	10							1	1	2		\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	<color=gold>H¾c CÈm bè c©n<color><enter>C¸c hiÖp kh¸ch th­êng mang khi hµnh hiÖp ®ªm tèi	¿ýÎàÄÐÍ·²¿001	§· khãa		1	2	1		0																																																																							
Ng­u B× ®Çu c©n	0	108	21	10	0	0	10							1	1	2		\image\item\cap\man2_cap_003a1.spr	\image\item\cap\man2_cap_003a0.spr	<color=gold>Ng­u B× ®Çu c©n<color><enter>Võa ®Ñp võa duyªn d¸ng. C¸c v¨n nh©n rÊt thÝch ®eo	¿ýÎàÄÐÍ·²¿002	§· khãa		1	2	1		0																																																																							
Kim §iÒu c©n	0	108	22	10	0	0	10							1	1	2		\image\item\cap\man2_cap_004a1.spr	\image\item\cap\man2_cap_004a0.spr	<color=gold>Kim §iÒu c©n<color><enter>Dïng ®Ó bói tãc, rò ra phÝa sau rÊt ®Ñp	¿ýÎàÄÐÍ·²¿013	§· khãa		1	2	1		0																																																																							
Vò Th¾ng Sa M·o	0	108	23	10	0	0	10							1	1	2		\image\item\cap\man2_cap_005a1.spr	\image\item\cap\man2_cap_005a0.spr	<color=gold>Vò Th¾ng Sa M·o<color><enter>C¸c vâ s­ th­êng mang, phßng ngù rÊt tèt	¿ýÎàÄÐÍ·²¿010	§· khãa		1	2	1		0																																																																							
Hoµng Trï Thóc c©n	0	108	24	10	0	0	10							1	1	2		\image\item\cap\man2_cap_002a1.spr	\image\item\cap\man2_cap_002a0.spr	<color=gold>Hoµng Trï Thóc c©n<color><enter>Võa ®Ñp võa cã thÓ b¶o vÖ phÇn ®Çu	¿ýÎàÄÐÍ·²¿014	§· khãa		1	2	1		0																																																																							
ThÇn Méc c©n	0	108	25	10	0	0	10							1	1	2		\image\item\cap\man2_cap_007a1.spr	\image\item\cap\man2_cap_007a0.spr	<color=gold>ThÇn Méc c©n<color><enter>KÕt tõ vá c©y cæ thô. Phßng ngù cùc tèt	¿ýÎàÄÐÍ·²¿011	§· khãa		1	2	1		0																																																																							
Nh­îc Thñy L¹p	0	108	26	10	0	0	10							1	1	2		\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	<color=gold>Nh­îc Thñy L¹p<color><enter>Gän nhÑ nh­ng ch¾c ch¾n.	¿ýÎàÄÐÍ·²¿003	§· khãa		1	2	1		0																																																																							
Chu T­íc Thóc c©n	0	108	27	10	0	0	10							1	1	2		\image\item\cap\man2_cap_009a1.spr	\image\item\cap\man2_cap_009a0.spr	<color=gold>Chu T­íc Thóc c©n<color><enter>C¸c v¨n nh©n th­êng ®eo, rÊt sang träng quý ph¸i	¿ýÎàÄÐÍ·²¿015	§· khãa		1	2	1		0																																																																							
H¶i ThÇn kÕt	0	108	28	10	0	0	10							1	1	2		\image\item\cap\man2_cap_010a1.spr	\image\item\cap\man2_cap_010a0.spr	<color=gold>H¶i ThÇn kÕt<color><enter>Gièng h×nh ®Çu c¸, phßng ngù cùc tèt	¿ýÎàÄÐÍ·²¿008	§· khãa		1	2	1		0																																																																							
§Þnh Quèc Tö C©n	0	108	29	10	0	0	10							1	1	2		\image\item\cap\man2_cap_011a1.spr	\image\item\cap\man2_cap_011a0.spr	<color=gold>§Þnh Quèc Tö C©n<color><enter>Hµo khÝ xung thiªn, t¨ng thªm søc m¹nh chiÕn ®Êu	¿ýÎàÄÐÍ·²¿012	§· khãa		1	2	1		0																																																																							
MËt NhÉn DiÖn tr¸o	0	108	30	10	0	0	10							1	1	2		\image\item\cap\man2_cap_012a1.spr	\image\item\cap\man2_cap_012a0.spr	<color=gold>MËt NhÉn DiÖn tr¸o<color><enter>C¸c thÝch kh¸ch HuyÒn NhÉn gi¸o vïng Liªu §«ng th­êng mang	¿ýÎàÄÐÍ·²¿018	§· khãa		1	2	1		0																																																																							
ThÇn S¸ch Kim Kh«i	0	108	31	10	0	0	10							1	1	2		\image\item\cap\man2_cap_013a1.spr	\image\item\cap\man2_cap_013a0.spr	<color=gold>ThÇn S¸ch Kim Kh«i<color><enter>CÊm vÖ qu©n §­êng triÒu th­êng ®éi. T­îng tr­ng cho søc m¹nh v­¬ng quyÒn	¿ýÎàÄÐÍ·²¿005	§· khãa		1	2	1		0																																																																							
Ngò L«i kÕt	0	108	32	10	0	0	10							1	1	2		\image\item\cap\man2_cap_014a1.spr	\image\item\cap\man2_cap_014a0.spr	<color=gold>Ngò L«i kÕt<color><enter>Rò ra sau gièng nh­ tia sÐt, rÊt oai phong	¿ýÎàÄÐÍ·²¿017	§· khãa		1	2	1		0																																																																							
Tinh Cang ChiÕn Kh«i	0	108	33	10	0	0	10							1	1	2		\image\item\cap\man2_cap_015a1.spr	\image\item\cap\man2_cap_015a0.spr	<color=gold>Tinh Cang ChiÕn Kh«i<color><enter>Tinh thÐp ®óc thµnh, ®ao th­¬ng bÊt nhËp	¿ýÎàÄÐÍ·²¿006	§· khãa		1	2	1		0																																																																							
Th¸nh Long kÕt	0	108	34	10	0	0	10							1	1	2		\image\item\cap\man2_cap_016a1.spr	\image\item\cap\man2_cap_016a0.spr	<color=gold>Th¸nh Long kÕt<color><enter>Gióp ng­êi ®eo linh c¶m ®­îc hiÓm nguy s¾p x¶y ra	¿ýÎàÄÐÍ·²¿009	§· khãa		1	2	1		0																																																																							
Chung Quú diÖn	0	108	35	10	0	0	10							1	1	2		\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	<color=gold>Chung Quú diÖn<color><enter>§eo vµo khiÕn quû thÇn còng ph¶i kinh sî	¿ýÎàÄÐÍ·²¿007	§· khãa		1	2	1		0																																																																							
DÞ ThÇn Kh«i	0	108	36	10	0	0	10							1	1	2		\image\item\cap\man2_cap_018a1.spr	\image\item\cap\man2_cap_018a0.spr	<color=gold>DÞ ThÇn Kh«i<color><enter>Mang vµo sÏ t¨ng thªm linh lùc, cã thÓ kªu gäi quû thÇn	¿ýÎàÄÐÍ·²¿016	§· khãa		1	2	1		0																																																																							
§µo Méc Tr©m	0	108	37	10	0	0	10							1	2	3		\image\item\cap\fm1_cap_001a1.spr	\image\item\cap\fm1_cap_001a0.spr	<color=gold>§µo Méc Tr©m<color><enter>Lµm tõ ®µo méc, mang vµo sÏ khiÕn t©m tÝnh hiÒn hßa	ÐÔ¸ÐÅ®Í·²¿033	§· khãa		1	2	1		0																																																																							
Th¸i Méc Tr©m	0	108	38	10	0	0	10							1	2	3		\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	<color=gold>Th¸i Méc Tr©m<color><enter>Mïi h­¬ng cã thÓ xua ®uæi c¸c lo¹i ®éc trïng	ÐÔ¸ÐÅ®Í·²¿019	§· khãa		1	2	1		0																																																																							
Phßng Phong L¹p	0	108	39	10	0	0	10							1	2	3		\image\item\cap\fm1_cap_003a1.spr	\image\item\cap\fm1_cap_003a0.spr	<color=gold>Phßng Phong L¹p<color><enter>Dïng ®Ó b¶o vÖ m¾t, cã thÓ ®i trong giã c¸t	ÐÔ¸ÐÅ®Í·²¿021	§· khãa		1	2	1		0																																																																							
