Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)2	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng ( 0 cã thÓ giao dŞch, cã thÓ b¸n; 1 kh«ng thÓ giao dŞch kh«ng thÓ b¸n; 2 cã thÓ b¸n, kh«ng thÓ giao dŞch; 3 kh«ng thÓ b¸n, cã thÓ giao dŞch; 4 cã thÓ b¸n, sau khi mang vµo sÏ bŞ khãa)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	B¶o l­u 1	B¶o l­u 2	B¶o l­u 3	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Chøc cÈm	2	2	22	1	2	999												\image\item\other\silk_002a1.spr	\image\item\other\silk_002a0.spr	<color=gold>Chøc cÈm<color><enter>Do Tïng Giang phñ chÕ t¹o tõ v¶i b«ng vµ chØ mµu ®Ó dÖt.		Sinh ho¹t		7									
Háa Ho¸n CÈm	2	2	23	1	3	999												\image\item\other\silk_003a1.spr	\image\item\other\silk_003a0.spr	<color=gold>Háa Ho¸n CÈm<color><enter>Lo¹i gÊm do §¹i Lı di téc dÖt, mµu s¾c sÆc sì, hoa v¨n tinh x¶o.		Sinh ho¹t		7									
Méc Miªn CÈm	2	2	24	1	4	999												\image\item\other\silk_004a1.spr	\image\item\other\silk_004a0.spr	<color=gold>Méc Miªn CÈm<color><enter>Lo¹i gÊm trø danh do §¹i Lı di téc dÖt, mµu s¾c rùc rì.		Sinh ho¹t		4									
V©n CÈm	2	2	25	1	5	999												\image\item\other\silk_005a1.spr	\image\item\other\silk_005a0.spr	<color=gold>V©n CÈm<color><enter>Lo¹i gÊm sang träng, ®¸ng gi¸ ngµn vµng do nh÷ng ng­êi thî næi tiÕng ë ®Êt Thôc dÖt thµnh.		Sinh ho¹t		5									
Thiªn T«n CÈm	2	2	26	1	6	999												\image\item\other\silk_006a1.spr	\image\item\other\silk_006a0.spr	<color=gold>Thiªn T«n CÈm<color><enter>Do c¸c thiÕu n÷ ë vïng T« Ch©u dÖt nªn, ®Ñp ®Ï thanh tó, t«n lªn nĞt sang träng.		Sinh ho¹t		6									
Liªn Hoµnh Phæ	2	2	27	1	3	999												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	<color=gold>Liªn Hoµnh Phæ<color><enter>Binh khİ phæ do c¸c tiÒn bèi vâ l©m ®êi tr­íc truyÒn l¹i.		Sinh ho¹t		7									
Tu La Phæ	2	2	57	1	6	999												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	<color=gold>Tu La Phæ<color><enter>Binh khİ phæ thÇn kú cña c¸c cña c¸c ®¹i s­ binh khİ næi tiÕng cña Tu La gi¸o n¨m x­a, dïng ®óc t¹o nh÷ng binh khİ th­îng ®¼ng.		Sinh ho¹t		7									
ThÇn Binh Phæ	2	2	58	1	9	999												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	<color=gold>ThÇn Binh Phæ<color><enter>Binh khİ phæ thÇn kú tõ thêi th­îng cæ truyÒn l¹i, chØ ng­êi h÷u duyªn míi cã thÓ ®óc t¹o ®­îc thÇn binh lîi khİ.		Sinh ho¹t		7									
H¾c Kim PhÊn	2	2	59	1	3	999												\image\item\other\coll_110a1.spr	\image\item\other\coll_110a0.spr	<color=gold>H¾c Kim PhÊn<color><enter>Kim lo¹i thÇn kú ®­îc ng­êi T©y Vùc du nhËp vµo Trung Nguyªn tõ thêi H¸n Vâ §Õ, vËt liÖu quan träng ®Ó ®óc t¹o vò khİ.		Sinh ho¹t		1									
H¾c Kim nhá	2	2	60	1	6	999												\image\item\other\ºÚ½ğa1.spr	\image\item\other\ºÚ½ğa0.spr	<color=gold>H¾c Kim nhá<color><enter>Kim lo¹i thÇn kú ®­îc ng­êi T©y Vùc du nhËp vµo Trung Nguyªn tõ thêi H¸n Vâ §Õ, vËt liÖu quan träng ®Ó ®óc t¹o vò khİ.		Sinh ho¹t		2									
H¾c Kim lín	2	2	61	1	9	999												\image\item\other\ºÚ½ğa1.spr	\image\item\other\ºÚ½ğa0.spr	<color=gold>H¾c Kim lín<color><enter>Kim lo¹i thÇn kú ®­îc ng­êi T©y Vùc du nhËp vµo Trung Nguyªn tõ thêi H¸n Vâ §Õ, vËt liÖu quan träng ®Ó ®óc t¹o vò khİ.		Sinh ho¹t		3									
ChØ t¬	2	2	62	1	3	999												\image\item\other\orsilk_002a1.spr	\image\item\other\orsilk_002a0.spr	<color=gold>ChØ t¬<color><enter>Kim tuyÕn b×nh d©n th­êng dïng, nguyªn liÖu cÇn thiÕt ®Ó may v¸		Sinh ho¹t		1									
CÈm tuyÕn	2	2	63	1	6	999												\image\item\other\orsilk_003a1.spr	\image\item\other\orsilk_003a0.spr	<color=gold>CÈm tuyÕn<color><enter>Kim tuyÕn b×nh d©n th­êng dïng, nguyªn liÖu cÇn thiÕt ®Ó may v¸		Sinh ho¹t		2									
Sîi t¬	2	2	64	1	9	999												\image\item\other\orsilk_011a1.spr	\image\item\other\orsilk_011a0.spr	<color=gold>Sîi t¬<color><enter>Kim tuyÕn phó hé th­êng dïng, nguyªn liÖu cÇn thiÕt ®Ó may v¸		Sinh ho¹t		3									
Linh Phï ChØ	2	2	65	0	9	999												\image\item\cloth\tool_010a1.spr	\image\item\cloth\tool_010a0.spr	<color=gold>Linh Phï ChØ<color><enter>Lo¹i giÊy chuyªn dïng ®Ó viÕt bïa chó.		Sinh ho¹t		1									
D­îc V­¬ng ThÇn biªn	2	2	28	1	3	999												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	<color=gold>D­îc V­¬ng ThÇn biªn<color><enter>S¸ch ghi chĞp c¸ch bµo chÕ thuèc cña D­îc V­¬ng T«n T­ M¹c ®Ó chÕ t¹o thÇn ®¬n vµ c¸c lo¹i thuèc quı.		Sinh ho¹t		3									
§én Gi¸p Th­	2	2	29	0	3	999												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	<color=gold>§én Gi¸p Th­<color><enter>S¸ch ghi chĞp c¸ch chÕ phï cña Tr­¬ng Thiªn S­ ë Long Hæ s¬n ®Ó chÕ t¹o c¸c lo¹i kú phï.		Sinh ho¹t		3									
Chu sa	2	2	30	1	1	999												\image\item\other\fulife_001a1.spr	\image\item\other\fulife_001a0.spr	<color=gold>Chu sa<color><enter>Lo¹i Chu Sa cã ë §ång huyÖt Thôc s¬n mang linh lùc, dïng chÕ t¹o c¸c lo¹i ®¹o phï.		Sinh ho¹t		1									
§¬n T©m sa	2	2	31	1	2	999												\image\item\other\fulife_002a1.spr	\image\item\other\fulife_002a0.spr	<color=gold>§¬n T©m sa<color><enter>Lo¹i Chu Sa hÊp thu uy linh dòng sÜ mang linh lùc m¹nh mÏ, dïng chÕ t¹o c¸c lo¹i ®¹o phï.		Sinh ho¹t		2									
Bİch HuyÕt Sa	2	2	32	1	3	999												\image\item\other\fulife_003a1.spr	\image\item\other\fulife_003a0.spr	<color=gold>Bİch HuyÕt Sa<color><enter>§­îc t¹o nªn tõ Linh HuyÕt cña c¸c tiªn nh©n mang linh lùc v« song, dïng chÕ t¹o c¸c lo¹i ®¹o phï.		Sinh ho¹t		3									
Thiªn Linh Sa	2	2	106	1	10	999												\image\item\other\fulife_003a1.spr	\image\item\other\fulife_003a0.spr	<color=gold>Thiªn Linh Sa<color><enter>Lo¹i c¸t hiÕm cã, dïng ®Ó vÏ bïa.		Sinh ho¹t		9									
H¾c KhuyÓn Linh HuyÕt	2	2	33	1	1	999												\image\item\other\fulife_004a1.spr	\image\item\other\fulife_004a0.spr	<color=gold>H¾c KhuyÓn Linh HuyÕt<color><enter>Linh huyÕt cña h¾c cÈu míi sinh, cã thÓ trõ tµ ®uæi yªu, dïng chÕ t¹o ®¹o phï.		Sinh ho¹t		1									
Thanh ¤ Linh HuyÕt	2	2	34	1	2	999												\image\item\other\fulife_005a1.spr	\image\item\other\fulife_005a0.spr	<color=gold>Thanh ¤ Linh HuyÕt<color><enter>Linh huyÕt cña tam tóc thanh « ë C«n L«n s¬n dïng chÕ t¹o c¸c lo¹i ®¹o phï uy lùc m¹nh mÏ.		Sinh ho¹t		2									
HuyÒn H¹c Linh HuyÕt	2	2	35	1	3	999												\image\item\other\fulife_006a1.spr	\image\item\other\fulife_006a0.spr	<color=gold>HuyÒn H¹c Linh HuyÕt<color><enter>LÊy tõ m¸u t­¬i cña b¹ch h¹c ngµn n¨m biÕn hãa thµnh h¾c h¹c, dïng chÕ t¹o c¸c lo¹i ®¹o phï thÇn kú.		Sinh ho¹t		3									
§Şa Long HuyÕt	2	2	107	1	10	999												\image\item\other\fulife_006a1.spr	\image\item\other\fulife_006a0.spr	<color=gold>§Şa Long HuyÕt<color><enter>Thùc ra lµ chÊt láng héi tô linh khİ mµ thµnh, dïng ®Ó vÏ bïa.		Sinh ho¹t		10									
Thiªn Niªn §µo Méc	2	2	108	1	10	999												\image\item\other\orwood_008a1.spr	\image\item\other\orwood_008a0.spr	<color=gold>Thiªn Niªn §µo Méc<color><enter>Gç ®µo tİch tô linh khİ v« cïng hiÕm cã, dïng ®Ó chÕ thÎ bïa v« cïng linh nghiÖm.		Sinh ho¹t											
UÉn Linh Hµo	2	2	109	1	10	999												\image\item\other\coll_001a1.spr	\image\item\other\coll_001a0.spr	<color=gold>UÉn Linh Hµo<color><enter>Dïng ®Ó t¹o bót l«ng, rÊt nhiÒu linh khİ, nh­ng ®¸ng tiÕc chØ dïng mét lÇn lµ hÕt linh khİ.		Sinh ho¹t											
Da hæ tr¾ng	2	2	19	1	5	999												\image\item\other\skin_005a1.spr	\image\item\other\skin_005a0.spr	<color=gold>Da hæ tr¾ng<color><enter>Lo¹i Da hæ cã søc phßng ngù cùc lín, vËt liÖu quı hiÕm chÕ t¹o dông cô phßng vÖ.		Sinh ho¹t		5									
§u«i thá	2	1	2	0.1	8	999												\image\item\other\coll_002a1.spr	\image\item\other\coll_002a0.spr	<color=gold>§u«i thá<color><enter>§u«i thá nhá, l«ng m­ît mÒm m¹i nh­ nhung.		Thu thËp		1	2	1							
R¨ng sãi	2	1	3	1	8	999												\image\item\other\coll_003a1.spr	\image\item\other\coll_003a0.spr	<color=gold>R¨ng sãi<color><enter>V« cïng s¾c nhän, cã thÓ thay thÕ vò khİ.		Thu thËp		1									
Thè Nhi Qu¶	2	1	4	1	10	999												\image\item\other\coll_004a1.spr	\image\item\other\coll_004a0.spr	<color=gold>Thè Nhi Qu¶<color><enter>Mét lo¹i qu¶ d¹i thá rÊt thİch ¨n.		Thu thËp		1									
L«ng sãi	2	1	5	0.1	10	999												\image\item\other\coll_001a1.spr	\image\item\other\coll_001a0.spr	<color=gold>L«ng sãi<color><enter>Dïng ®Ó lµm bót l«ng.		Thu thËp		1									
No·n trïng	2	1	6	1	10	999												\image\item\other\coll_006a1.spr	\image\item\other\coll_006a0.spr	<color=gold>No·n trïng<color><enter>Cã thÓ në thµnh Êu trïng.		Thu thËp		1									
Nanh heo rõng	2	1	7	1	10	999												\image\item\other\coll_007a1.spr	\image\item\other\coll_007a0.spr	<color=gold>Nanh heo rõng<color><enter>Cã thÓ dïng lµm trang søc.		Thu thËp		1									
L«ng sãi th­îng ®¼ng	2	1	8	0.1	10	999												\image\item\other\coll_001a1.spr	\image\item\other\coll_001a0.spr	<color=gold>L«ng sãi th­îng ®¼ng<color><enter>Dïng ®Ó lµm bót l«ng.		Thu thËp		1									
VÊn Lé th¹ch	2	1	9	1	10	999												\image\item\other\coll_009a1.spr	\image\item\other\coll_009a0.spr	<color=gold>VÊn Lé th¹ch<color><enter>Lo¹i ®¸ ban ®ªm ph¸t s¸ng.		Thu thËp		1									
ThiÕt Ban ChØ	2	1	10	1	10	999												\image\item\other\coll_010a1.spr	\image\item\other\coll_010a0.spr	<color=gold>ThiÕt Ban ChØ<color><enter>C¸c cung thñ th­êng sö dông		Thu thËp		1									
Tó hoa hµi	2	1	11	1	10	999												\image\item\other\coll_011a1.spr	\image\item\other\coll_011a0.spr	<color=gold>Tó hoa hµi<color><enter>C¸c thiÕu n÷ th­êng mang, trªn cã g¾n nhiÒu hoa nhá.		Thu thËp		1									
Thiªu töu	2	1	12	1	10	999												\image\item\other\coll_012a1.spr	\image\item\other\coll_012a0.spr	<color=gold>Thiªu töu<color><enter>Lo¹i r­îu b×nh d©n, rÊt dÔ mua		Thu thËp		1									
Tæ ong	2	1	13	1	14	999												\image\item\other\coll_013a1.spr	\image\item\other\coll_013a0.spr	<color=gold>Tæ ong<color><enter>Bªn trong cã chøa nhiÒu mËt.		Thu thËp		1									
Nanh heo th­îng h¹ng	2	1	14	1	14	999												\image\item\other\coll_007a1.spr	\image\item\other\coll_007a0.spr	<color=gold>Nanh heo th­îng h¹ng<color><enter>Cã thÓ dïng lµm trang søc.		Thu thËp		1									
GÊm lam	2	1	15	1	14	999												\image\item\other\coll_015a1.spr	\image\item\other\coll_015a0.spr	<color=gold>GÊm lam<color><enter>Lo¹i lôa quı hiÕm, ngh×n vµng khã mua!		Thu thËp		1									
HÇu Nhi Qu¶	2	1	16	1	14	999												\image\item\other\coll_004a1.spr	\image\item\other\coll_004a0.spr	<color=gold>HÇu Nhi Qu¶<color><enter>Mïi vŞ th¬m ngät, thùc phÈm yªu thİch cña h¾c hÇu		Thu thËp		1									
Thanh Kim	2	1	17	1	14	999												\image\item\other\coll_017a1.spr	\image\item\other\coll_017a0.spr	<color=gold>Thanh Kim<color><enter>Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
C¸nh d¬i	2	1	18	1	14	999												\image\item\other\coll_018a1.spr	\image\item\other\coll_018a0.spr	<color=gold>C¸nh d¬i<color><enter>Cã thÓ chÕ t¹o ®éc d­îc		Thu thËp		1									
Hæ vÜ	2	1	19	1	14	999												\image\item\other\coll_019a1.spr	\image\item\other\coll_019a0.spr	<color=gold>Hæ vÜ<color><enter>§u«i hæ tr¨m tuæi, cùc kú quı hiÕm.		Thu thËp		1									
ThiÕt Th­¬ng §Çu	2	1	20	1	14	999												\image\item\other\coll_020a1.spr	\image\item\other\coll_020a0.spr	<color=gold>ThiÕt Th­¬ng §Çu<color><enter>Lo¹i th­¬ng th«ng th­êng, rÊt dÔ mua.		Thu thËp		1									
Bao ®ao	2	1	21	1	14	999												\image\item\other\coll_021a1.spr	\image\item\other\coll_021a0.spr	<color=gold>Bao ®ao<color><enter>§­îc lµm tõ da thó, cùc kú bÒn ch¾c.		Thu thËp		1									
TuyÕt Tinh	2	1	22	1	14	999												\image\item\other\coll_022a1.spr	\image\item\other\coll_022a0.spr	<color=gold>TuyÕt Tinh<color><enter>Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Thèi Cèt	2	1	23	1	14	999												\image\item\other\coll_023a1.spr	\image\item\other\coll_023a0.spr	<color=gold>Thèi Cèt<color><enter>M¶nh x­¬ng l©u n¨m		Thu thËp		1									
S­u ThÇn Kı	2	1	24	1	14	999												\image\item\other\coll_024a1.spr	\image\item\other\coll_024a0.spr	<color=gold>S­u ThÇn Kı<color><enter>§­îc l­u l¹i tõ thêi §«ng TÊn, bªn trong cã ghi chĞp nhiÒu ®iÒu bİ Èn.		Thu thËp		1									
Gi¸p Méc Bµi	2	1	25	1	16	999												\image\item\other\coll_025a1.spr	\image\item\other\coll_025a0.spr	<color=gold>Gi¸p Méc Bµi<color><enter>Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
¸m Yªn	2	1	26	1	16	999												\image\item\other\coll_026a1.spr	\image\item\other\coll_026a0.spr	<color=gold>¸m Yªn<color><enter>Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
¢m Ph¸ch	2	1	27	1	16	999												\image\item\other\coll_027a1.spr	\image\item\other\coll_027a0.spr	<color=gold>¢m Ph¸ch<color><enter>Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Trøng chim	2	1	28	1	16	999												\image\item\other\coll_028a1.spr	\image\item\other\coll_028a0.spr	<color=gold>Trøng chim<color><enter>Cã thÓ në thanh chim non		Thu thËp		1									
B¶o B×nh	2	1	29	1	16	999												\image\item\other\coll_029a1.spr	\image\item\other\coll_029a0.spr	<color=gold>B¶o B×nh<color><enter>Lo¹i b×nh cæ x­a, cã thÓ ®æi ng©n l­îng.		Thu thËp		1									
§ång kiÕm	2	1	30	1	16	999												\image\item\other\coll_030a1.spr	\image\item\other\coll_030a0.spr	<color=gold>§ång kiÕm<color><enter>Lo¹i kiÕm th«ng th­êng, rÊt dÔ mua.		Thu thËp		1									
Méc Thñ	2	1	31	1	16	999												\image\item\other\coll_031a1.spr	\image\item\other\coll_031a0.spr	<color=gold>Méc Thñ<color><enter>Tay méc nh©n, Èn giÊu nhiÒu ¸m khİ.		Thu thËp		1									
Hång Tinh	2	1	32	1	16	999												\image\item\other\coll_032a1.spr	\image\item\other\coll_032a0.spr	<color=gold>Hång Tinh<color><enter>Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Êt Méc Bµi	2	1	33	1	16	999												\image\item\other\coll_033a1.spr	\image\item\other\coll_033a0.spr	<color=gold>Êt Méc Bµi<color><enter>Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
Quan phôc	2	1	34	1	16	999												\image\item\other\coll_034a1.spr	\image\item\other\coll_034a0.spr	<color=gold>Quan phôc<color><enter>Trang phôc cña quan l¹i Cöu phÈm tuÇn tra		Thu thËp		1									
B¸nh n­íng	2	1	35	1	16	999												\image\item\other\coll_035a1.spr	\image\item\other\coll_035a0.spr	<color=gold>B¸nh n­íng<color><enter>Mïi vŞ th¬m ngon hÊp dÉn.		Thu thËp		1									
Gia Ph¸p bæng	2	1	36	1	16	999												\image\item\other\coll_036a1.spr	\image\item\other\coll_036a0.spr	<color=gold>Gia Ph¸p bæng<color><enter>Lo¹i bæng dïng trõng trŞ gia ph¸p, khi ®¸nh lµm bong trãc da thŞt.		Thu thËp		1									
Lang Hån	2	1	37	1	16	999												\image\item\other\coll_037a1.spr	\image\item\other\coll_037a0.spr	<color=gold>Lang Hån<color><enter>Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Hµng hãa	2	1	38	1	16	999												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	<color=gold>Hµng hãa<color><enter>Tói hµng hãa cña c¸c th­¬ng gia khi vËn chuyÓn.		Thu thËp		1									
D¹ Minh Ch©u	2	1	39	1	16	999												\image\item\other\coll_039a1.spr	\image\item\other\coll_039a0.spr	<color=gold>D¹ Minh Ch©u<color><enter>Kú tr©n dŞ b¶o, ngµn vµng khã mua.		Thu thËp		1									
Th­¬ng g·y	2	1	40	1	16	999												\image\item\other\coll_040a1.spr	\image\item\other\coll_040a0.spr	<color=gold>Th­¬ng g·y<color><enter>§Çu mòi th­¬ng bŞ chÆt ®øt		Thu thËp		1									
Kim Thoa	2	1	41	1	16	999												\image\item\other\coll_041a1.spr	\image\item\other\coll_041a0.spr	<color=gold>Kim Thoa<color><enter>ThiÕu n÷ vïng Giang Nam võa lµm trang trang søc võa lµm vò khİ.		Thu thËp		1									
MiÕng ®ång	2	1	42	1	16	999												\image\item\other\coll_042a1.spr	\image\item\other\coll_042a0.spr	<color=gold>MiÕng ®ång<color><enter>M¶nh ®ång vµng ãng cùc nÆng.		Thu thËp		1									
Th¶o hµi	2	1	43	1	16	999												\image\item\other\coll_043a1.spr	\image\item\other\coll_043a0.spr	<color=gold>Th¶o hµi<color><enter>§­îc kÕt b»ng cá, tr«ng méc m¹c nh­ng cùc kú bÒn ch¾c.		Thu thËp		1									
Töu B«i	2	1	44	1	16	999												\image\item\other\coll_044a1.spr	\image\item\other\coll_044a0.spr	<color=gold>Töu B«i<color><enter>Gi¸ trŞ liªn thµnh, ngµn vµng khã mua.		Thu thËp		1									
TuyÕt Ph¸ch	2	1	45	1	17	999												\image\item\other\coll_045a1.spr	\image\item\other\coll_045a0.spr	<color=gold>TuyÕt Ph¸ch<color><enter>Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Bİnh Méc Bµi	2	1	46	1	17	999												\image\item\other\coll_046a1.spr	\image\item\other\coll_046a0.spr	<color=gold>Bİnh Méc Bµi<color><enter>Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
ThiÕt Xoa	2	1	47	1	17	999												\image\item\other\coll_047a1.spr	\image\item\other\coll_047a0.spr	<color=gold>ThiÕt Xoa<color><enter>Lo¹i thiÕt xoa cã mòi cøng, c¸n to, bÒ mÆt thĞp cã nhiÒu lç.		Thu thËp		1									
§u«i Hæ vµng	2	1	48	1	17	999												\image\item\other\coll_019a1.spr	\image\item\other\coll_019a0.spr	<color=gold>§u«i Hæ vµng<color><enter>V× t×m ®u«i Hoµng Hæ V­¬ng, nhiÒu thî s¨n ®· mÊt m¹ng.		Thu thËp		1									
ThÇn Ma chİ	2	1	49	1	17	999												\image\item\other\coll_049a1.spr	\image\item\other\coll_049a0.spr	<color=gold>ThÇn Ma chİ<color><enter>Khi HËu H¸n ®¹o s­ Tr­¬ng §¹o L¨ng tho¸i Èn B¾c Mang s¬n ®· ghi l¹i v« sè ®Æc tİnh vµ h×nh d¸ng cña yªu vËt.		Thu thËp		1									
Thñ Cèt	2	1	50	1	17	999												\image\item\other\coll_050a1.spr	\image\item\other\coll_050a0.spr	<color=gold>Thñ Cèt<color><enter>Cã thÓ tinh chÕ ph¸p khİ		Thu thËp		1									
U Hån	2	1	51	1	17	999												\image\item\other\coll_051a1.spr	\image\item\other\coll_051a0.spr	<color=gold>U Hån<color><enter>Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Tr·m Töu	2	1	52	1	17	999												\image\item\other\coll_052a1.spr	\image\item\other\coll_052a0.spr	<color=gold>Tr·m Töu<color><enter>L«ng cña mét loµi chim ®éc ng©m r­îu, uèng vµo cã thÓ chÕt ngay.		Thu thËp		1									
Di T¾c Chung	2	1	53	1	17	999												\image\item\other\coll_053a1.spr	\image\item\other\coll_053a0.spr	<color=gold>Di T¾c Chung<color><enter>Mét lo¹i chu«ng ®ång cæ x­a, ©m thanh cã thÓ vang xa ngµn dÆm.		Thu thËp		1									
GÊm vµng	2	1	54	1	17	999												\image\item\other\coll_054a1.spr	\image\item\other\coll_054a0.spr	<color=gold>GÊm vµng<color><enter>Lo¹i lôa quı hiÕm, ngh×n vµng khã mua 		Thu thËp		1									
B×nh trµ	2	1	55	1	17	999												\image\item\other\coll_055a1.spr	\image\item\other\coll_055a0.spr	<color=gold>B×nh trµ<color><enter>KiÓu d¸ng cæ x­a, ng­êi NhËt th­êng dïng ®Ó pha trµ.		Thu thËp		1									
C«ng V¨n	2	1	56	1	17	999												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	<color=gold>C«ng V¨n<color><enter>ChiÕu th­ triÒu ®×nh ®­a xuèng c¸c nha m«n, bªn trong chøa nhiÒu tin tøc quan träng.		Thu thËp		1									
Hép trang søc	2	1	57	1	17	999												\image\item\other\coll_057a1.spr	\image\item\other\coll_057a0.spr	<color=gold>Hép trang søc<color><enter>Hép trang søc phô n÷, ®«i khi ®­îc dïng ®Ó chøa nh÷ng vËt phÈm quı.		Thu thËp		1									
C¸nh d¬i	2	1	58	1	17	999												\image\item\other\coll_018a1.spr	\image\item\other\coll_018a0.spr	<color=gold>C¸nh d¬i<color><enter>Cã thÓ tinh chÕ ®¬n d­îc dïng ®Ó trŞ ®éc.		Thu thËp		1									
§inh Méc Bµi	2	1	59	1	17	999												\image\item\other\coll_059a1.spr	\image\item\other\coll_059a0.spr	<color=gold>§inh Méc Bµi<color><enter>Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
BÇu r­îu da dª	2	1	60	1	17	999												\image\item\other\coll_060a1.spr	\image\item\other\coll_060a0.spr	<color=gold>BÇu r­îu da dª<color><enter>C¸c d©n téc phİa b¾c Tr­êng Thµnh dïng ®Ó chøa r­îu.		Thu thËp		1									
D©y xİch	2	1	61	1	17	999												\image\item\other\coll_061a1.spr	\image\item\other\coll_061a0.spr	<color=gold>D©y xİch<color><enter>Trang bŞ khİ giíi chuyªn dông cña cao thñ Lôc PhiÕn M«n, dïng ®Ó trãi träng ph¹m.		Thu thËp		1									
Lôc Ph¸ch	2	1	62	1	18	999												\image\item\other\coll_062a1.spr	\image\item\other\coll_062a0.spr	<color=gold>Lôc Ph¸ch<color><enter>Mét lo¹i ®¸ quı, gi¸ trŞ v« song.		Thu thËp		1									
Mãc C©u	2	1	63	1	18	999												\image\item\other\coll_063a1.spr	\image\item\other\coll_063a0.spr	<color=gold>Mãc C©u<color><enter>Lo¹i mãc cña nh©n sÜ vâ l©m dïng ®Ó leo lªn c¸c dèc cao.		Thu thËp		1									
MËu Méc Bµi	2	1	64	1	18	999												\image\item\other\coll_064a1.spr	\image\item\other\coll_064a0.spr	<color=gold>MËu Méc Bµi<color><enter>Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
BÇu r­îu da dª	2	1	65	1	18	999												\image\item\other\coll_060a1.spr	\image\item\other\coll_060a0.spr	<color=gold>BÇu r­îu da dª<color><enter>C¸c d©n téc phİa b¾c Tr­êng Thµnh dïng ®Ó chøa r­îu.		Thu thËp		1									
Kû Méc Bµi	2	1	66	1	18	999												\image\item\other\coll_066a1.spr	\image\item\other\coll_066a0.spr	<color=gold>Kû Méc Bµi<color><enter>Trªn cã kh¾c hoa v¨n, kı hiÖu kú qu¸i.		Thu thËp		1									
§¹i Tèng ®Şa chİ	2	1	67	1	18	999												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>§¹i Tèng ®Şa chİ<color><enter>Ghi chĞp tû mØ vÒ nói s«ng, cöa ¶i, s«ng ngßi vµ ®Şa h×nh cña §¹i Tèng.		Thu thËp		1									
Ch©m cøu ®ång nh©n	2	1	68	1	18	999												\image\item\other\coll_068a1.spr	\image\item\other\coll_068a0.spr	<color=gold>Ch©m cøu ®ång nh©n<color><enter>Lîi dông thuËt ch©m cøu ®Ó chÕ t¹o §ång nh©n, cã thÓ phãng ra thñy ng©n kŞch ®éc.		Thu thËp		1									
Hoµng Kim Ban ChØ	2	1	69	1	18	999												\image\item\other\coll_069a1.spr	\image\item\other\coll_069a0.spr	<color=gold>Hoµng Kim Ban ChØ<color><enter>Lo¹i ban chØ lµm b»ng vµng s¸ng chãi.		Thu thËp		1									
