Tªn thó c­ìi	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè lç tèi ®a	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng (0 cã thÓ, 1 kh«ng thÓ giao dŞch, 2 cã thÓ giao dŞch cã thÓ b¸n shop, 3 cã thÓ giao dŞch kh«ng thÓ b¸n shop, 4 khãa sau khi trang bŞ cã thÓ b¸n shop, 5 khãa sau khi trang bŞ kh«ng thÓ b¸n shop)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 4	Phİ	Column1
BĞ Hæ Tr¾ng-§Ñp	0	105	30124	1000	0	0	2500		state_move_speed_percent_add	800;341				10				\image\item\horse\baihu_.spr	\image\item\horse\baihu.spr	<color=gold>BĞ Hæ Tr¾ng-§Ñp<color><enter>B¹ch Hæ B¶o B¶o	»¢3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Hæ Vµng-§Ñp	0	105	30125	1000	0	0	2500		state_move_speed_percent_add	800;342				10				\image\item\horse\»Æ»¢a1.spr	\image\item\horse\»Æ»¢a0.spr	<color=gold>BĞ Hæ Vµng-§Ñp<color><enter>Hoµng Hæ B¶o B¶o	»¢2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Hæ §en-§Ñp	0	105	30126	1000	0	0	2500		state_move_speed_percent_add	800;343				10				\image\item\horse\ºÚ»¢a1.spr	\image\item\horse\ºÚ»¢a0.spr	<color=gold>BĞ Hæ §en-§Ñp<color><enter>H¾c Hæ B¶o B¶o	»¢1	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ B¸o Tr¾ng-§Ñp	0	105	30127	1000	0	0	2500		state_move_speed_percent_add	800;344				10				\image\item\horse\baobai_.spr	\image\item\horse\baobai.spr	<color=gold>BĞ B¸o Tr¾ng-§Ñp<color><enter>B¸o Tr¾ng B¶o B¶o	±ª×Ó2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ B¸o §en-§Ñp	0	105	30128	1000	0	0	2500		state_move_speed_percent_add	800;345				10				\image\item\horse\ºÚ±ªa1.spr	\image\item\horse\ºÚ±ªa0.spr	<color=gold>BĞ B¸o §en-§Ñp<color><enter>B¸o §en B¶o B¶o	±ª×Ó	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ B¸o Vµng-§Ñp	0	105	30129	1000	0	0	2500		state_move_speed_percent_add	800;346				10				\image\item\horse\baohuang_.spr	\image\item\horse\baohuang.spr	<color=gold>BĞ B¸o Vµng-§Ñp<color><enter>B¸o Vµng B¶o B¶o	±ª×Ó3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ ¤ V©n §¹p TuyÕt-§Ñp	0	105	30130	1000	0	0	2500		state_move_speed_percent_add	800;347				10				\image\item\horse\mahei_.spr	\image\item\horse\mahei.spr	<color=gold>BĞ ¤ V©n §¹p TuyÕt-§Ñp<color><enter>¤ V©n §¹p TuyÕt B¶o B¶o	Âí19	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ Thó Mét Sõng-§Ñp	0	105	30131	1000	0	0	2500		state_move_speed_percent_add	800;348				10				\image\item\horse\mabai_.spr	\image\item\horse\mabai.spr	<color=gold>BĞ Thó Mét Sõng-§Ñp<color><enter>§éc Gi¸c Thó B¶o B¶o	Âí20	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
Voi ChiÕn-§Ñp	0	105	30132	1000	0	0	2500		state_move_speed_percent_add	800;349				10				\image\item\horse\³¤Ã«Ïóa1.spr	\image\item\horse\³¤Ã«Ïóa0.spr	<color=gold>Voi ChiÕn-§Ñp<color><enter>ChiÕn T­îng, thó c­ìi chuyªn dông cña Nguyªn So¸i, uy phong lÉm liÖt, qu©n c«ng ®¹t trªn 25 v¹n ®iÓm cã thÓ c­ìi	Ïó	M· Bµi	\script\online_activites\silingmount\item\zhanxiang.lua	4	2	1		50000	999
NguyÖt Thè-§Ñp	0	105	30133	100	0	0	2500		state_move_speed_percent_add	800;350				10				\image\item\horse\°×ÍÃ×Ó36.spr	\image\item\horse\°×ÍÃ×Ó120.spr	<color=gold>NguyÖt Thè-§Ñp<color><enter>Thá tr¾ng xinh ®Ñp qu¸	°×ÍÃ×Ó	M· Bµi	\script\item\horse.lua	1	2	1		50000	999
Thá §en-§Ñp	0	105	30134	100	0	0	2500		state_move_speed_percent_add	800;351				10				\image\item\horse\ºÚÍÃ×Ó36.spr	\image\item\horse\ºÚÍÃ×Ó120.spr	<color=gold>Thá §en-§Ñp<color><enter>Thá ®en ngé nghÜnh	ºÚÍÃ×Ó	M· Bµi	\script\item\horse.lua	1	2	1		50000	999
Thá B«ng-§Ñp	0	105	30135	100	0	0	2500		state_move_speed_percent_add	800;352				10				\image\item\horse\»¨ÍÃ×Ó36.spr	\image\item\horse\»¨ÍÃ×Ó120.spr	<color=gold>Thá B«ng-§Ñp<color><enter>Thá b«ng ®¸ng yªu qu¸	»¨ÍÃ×Ó	M· Bµi	\script\item\horse.lua	1	2	1		50000	999
Xe TuÇn Léc-§á	0	105	30136	1000	0	0	2500		state_move_speed_percent_add	800;353				10				\image\item\horse\Ê¥µ®Ñ©ÇÁa1.spr	\image\item\horse\Ê¥µ®Ñ©ÇÁa0.spr	<color=gold>Xe TuÇn Léc-§á<color><enter>Xe TuÇn Léc §á xinh ®Ñp, v« cïng thêi trang	·ÉÌìÓùÂ¹£¨ºì£©	M· Bµi	\script\item\horse.lua	1	2	1		50000	999
Xe TuÇn Léc-Xanh	0	105	30137	1000	0	0	2500		state_move_speed_percent_add	800;354				10				\image\item\horse\Ê¥µ®Ñ©ÇÁ2a1.spr	\image\item\horse\Ê¥µ®Ñ©ÇÁ2a0.spr	<color=gold>Xe TuÇn Léc-Xanh<color><enter>Xe TuÇn Léc Lôc xinh ®Ñp, v« cïng thêi trang	·ÉÌìÓùÂ¹£¨ÂÌ£©	M· Bµi	\script\item\horse.lua	1	2	1		50000	999
Xe TuÇn Léc-Vµng	0	105	30138	1000	0	0	2500		state_move_speed_percent_add	800;355				10				\image\item\horse\Ê¥µ®Ñ©ÇÁ3a1.spr	\image\item\horse\Ê¥µ®Ñ©ÇÁ3a0.spr	<color=gold>Xe TuÇn Léc-Vµng<color><enter>Xe TuÇn Léc Vµng xinh ®Ñp, v« cïng thêi trang	·ÉÌìÓùÂ¹£¨ÂÌ½ğ£©	M· Bµi	\script\item\horse.lua	1	2	1		50000	999
Móa L©n-§Ñp	0	105	30139	1000	1	0	25000		state_move_speed_percent_add	800;356				10				\image\item\horse\ÎèÊ¨a1.spr	\image\item\horse\ÎèÊ¨a0.spr	<color=gold>Móa L©n-§Ñp<color><enter>Sau khi sö dông sÏ xuÊt hiÖn mét con l©n s­ ®Ó ng­¬i c­ìi	ÎèÊ¨	M· Bµi	\script\item\horse.lua	3	2	1		200000	999
BĞ B¸o §en-§Ñp	0	105	30140	1000	0	0	2500		state_move_speed_percent_add	800;357				10				\image\item\horse\ºÚ±ªa1.spr	\image\item\horse\ºÚ±ªa0.spr	<color=gold>BĞ B¸o §en-§Ñp<color><enter>B¸o §en B¶o B¶o	±ª×Ó	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ B¸o Vµng-§Ñp	0	105	30141	1000	0	0	2500		state_move_speed_percent_add	800;358				10				\image\item\horse\baohuang_.spr	\image\item\horse\baohuang.spr	<color=gold>BĞ B¸o Vµng-§Ñp<color><enter>B¸o Vµng B¶o B¶o	±ª×Ó3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
BĞ B¸o Tr¾ng-§Ñp	0	105	30142	1000	0	0	2500		state_move_speed_percent_add	800;359				10				\image\item\horse\baobai_.spr	\image\item\horse\baobai.spr	<color=gold>BĞ B¸o Tr¾ng-§Ñp<color><enter>B¸o Tr¾ng B¶o B¶o	±ª×Ó2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	2	1		50000	999
Hoa Sen Xanh-Rùc Rì	0	105	30143	0	0	0	2500		state_move_speed_percent_add	800;360				10				\image\item\horse\Á«»¨×ùÀ¶a1.spr	\image\item\horse\Á«»¨×ùÀ¶a0.spr	<color=gold>Hoa Sen Xanh-Rùc Rì<color><enter>Khóc Tr¶o Phï Dung ¸nh Tróc Gia, Lôc Hång T­¬ng û ñng V©n Hµ	ÇàÁ«»¨	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
TÇn ChiÕn Xa-Rùc Rì	0	105	30144	1000	0	0	2500		state_move_speed_percent_add	800;361				10				\image\item\horse\Õ½³µa1.spr	\image\item\horse\Õ½³µa0.spr	<color=gold>TÇn ChiÕn Xa-Rùc Rì<color><enter>§©y lµ ChiÕn Xa Thñy Hoµng ®­îc t×m thÊy trong lang mé cña TÇn Thñy Hoµng, mét søc m¹nh bİ Èn gióp nã cã thÓ ®i ngµn dÆm trong mét ngµy.	Ê¼»ÊÕ½³µ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
DiÒu Bay-Rùc Rì	0	105	30145	1000	0	0	2500		state_move_speed_percent_add	800;362				10				\image\item\horse\feiyuana1.spr	\image\item\horse\feiyuana0.spr	<color=gold>DiÒu Bay-Rùc Rì<color><enter>Tinh hoa c¬ quan thuËt cña nhµ C«ng Th©u.	·Éğ°	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Kim Gi¸p S¬n-§Ñp	0	105	30146	1000	0	0	2500		state_move_speed_percent_add	800;363				10				\image\item\horse\×øÆïÑò3a1.spr	\image\item\horse\×øÆïÑò3a0.spr	<color=gold>Kim Gi¸p S¬n-§Ñp<color><enter>TiÕng tï vµ chiÕn ®Êu næi lªn, H¾c S¬n lµ chiÕn sÜ m¹nh nhÊt cña th¶o nguyªn.	½ğ¼×ºÚÉ½	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
TiÓu B¹ch D­¬ng-§Ñp	0	105	30147	1000	0	0	2500		state_move_speed_percent_add	800;364				10				\image\item\horse\×øÆïÑò1a1.spr	\image\item\horse\×øÆïÑò1a0.spr	<color=gold>TiÓu B¹ch D­¬ng-§Ñp<color><enter>TiÓu B¹ch D­¬ng lµ mét con dª kiªu ng¹o.	°×ÑòĞ¡ßã	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Long M·-§Ñp	0	105	30148	1000	0	0	2500		state_move_speed_percent_add	800;365				10				\image\item\other\¶À½ÇÊŞ36.spr	\image\item\horse\dujiaoshou1200.spr	<color=gold>Long M·-§Ñp<color><enter>TruyÒn thuyÕt long m· bay lªn mÆt s«ng, th©n mang hµ ®å. Long m· tøc lµ thó mét sõng.	¶À½ÇÊŞ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Hoa Sen Tr¾ng-Rùc Rì	0	105	30149	0	0	0	2500		state_move_speed_percent_add	800;366				10				\image\item\horse\Á«»¨×ù°×a1.spr	\image\item\horse\Á«»¨×ù°×a0.spr	<color=gold>Hoa Sen Tr¾ng-Rùc Rì<color><enter>B¹ch liªn bÊt nhiÔm trÇn, hîp ch­ëng vi th­¬ng sinh.	°×Á«»¨	M· Bµi	\script\item\yujian.lua	4	2	1		50000	999
Hoa Sen §á-Rùc Rì	0	105	30150	0	0	0	2500		state_move_speed_percent_add	800;367				10				\image\item\horse\Á«»¨×ùºìa1.spr	\image\item\horse\Á«»¨×ùºìa0.spr	<color=gold>Hoa Sen §á-Rùc Rì<color><enter>Hång lien nhiªn tËn xö, nghiÖp háa ®o¹n sinh hån.	ºìÁ«»¨	M· Bµi	\script\item\yujian.lua	4	2	1		50000	999
Hoa Sen Tİm-Rùc Rì	0	105	30151	0	0	0	2500		state_move_speed_percent_add	800;368				10				\image\item\horse\Á«»¨×ù×Ïa1.spr	\image\item\horse\Á«»¨×ù×Ïa0.spr	<color=gold>Hoa Sen Tİm-Rùc Rì<color><enter>Tö liªn hËn dao d¹, biÖt thŞ vi t­¬ng t­.	×ÏÁ«»¨	M· Bµi	\script\item\yujian.lua	4	2	1		50000	999
Thá Ngäc BŞ B¾t-§Ñp	0	105	30152	100	0	0	2500		state_move_speed_percent_add	800;369				10			6	\image\item\horse\°×ÍÃ×Ó36lb.spr	\image\item\horse\°×ÍÃ×Ólb120.spr	<color=gold>Thá Ngäc BŞ B¾t-§Ñp<color><enter>Trªn s¸ch nãi, dïng 1 cäng cµ rèt cã thÓ dô b¾t ®­îc thá!	ÂÜ²·°×ÍÃ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Thá §en BŞ B¾t-§Ñp	0	105	30153	100	0	0	2500		state_move_speed_percent_add	800;370				10			6	\image\item\horse\ºÚÍÃ×Ó36lb.spr	\image\item\horse\ºÚÍÃ×Ólb120.spr	<color=gold>Thá §en BŞ B¾t-§Ñp<color><enter>Trªn s¸ch nãi, dïng 1 cäng cµ rèt cã thÓ dô b¾t ®­îc thá!	ÂÜ²·ºÚÍÃ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
TuÇn Léc-§Ñp	0	105	30154	1000	0	0	15000		state_move_speed_percent_add	800;371				10				\image\item\horse\Ê¥µ®Â¹a1.spr	\image\item\horse\Ê¥µ®Â¹a0.spr	<color=gold>TuÇn Léc-§Ñp<color><enter>TriÖu håi thó c­ìi TuÇn Léc	Ê¥µ®Â¹	M· Bµi	\script\item\horse.lua	7	2	1		10000	999
Kim Ng­u-§Ñp	0	105	30155	1000	0	0	15000		state_move_speed_percent_add	800;372				10				\image\item\other\jinniu_a1.spr	\image\item\other\jinniu_a0.spr	<color=gold>Kim Ng­u-§Ñp<color><enter>TriÖu håi thó c­ìi Kim Ng­u	½ğÅ£	M· Bµi	\script\item\horse.lua	7	2	1		10000	999
Niªn Thó N¨m Míi-§Ñp	0	105	30156	1000	1	0	2500		state_move_speed_percent_add	800;373				10				\image\item\horse\ÄêÊŞa1.spr	\image\item\horse\ÄêÊŞa0.spr	<color=gold>Niªn Thó N¨m Míi-§Ñp<color><enter>Sau khi sö dông sÏ xuÊt hiÖn mét con niªn thó ®Ó b¹n c­ìi.	ÄêÊŞ	M· Bµi	\script\item\horse.lua	3	2	1		50000	999
L¹c §µ Tr¾ng-§Ñp	0	105	30157	1000	0	0	2500		state_move_speed_percent_add	800;374				10				\image\item\horse\ÂæÍÕ°×a1.spr	\image\item\horse\ÂæÍÕ°×a0.spr	<color=gold>L¹c §µ Tr¾ng-§Ñp<color><enter>§­îc gäi lµ "con tµu trªn sa m¹c". 	°×ÂæÍÕ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
L¹c §µ X¸m-§Ñp	0	105	30158	1000	0	0	2500		state_move_speed_percent_add	800;375				10				\image\item\horse\ÂæÍÕ»Òa1.spr	\image\item\horse\ÂæÍÕ»Òa0.spr	<color=gold>L¹c §µ X¸m-§Ñp<color><enter>§­îc gäi lµ "con tµu trªn sa m¹c". 	»ÒÂæÍÕ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
GÊu Manh Manh-§Ñp	0	105	30159	1000	0	0	2500		state_move_speed_percent_add	800;376				10				\image\item\horse\ĞÜÃ¨a1.spr	\image\item\horse\ĞÜÃ¨a0.spr	<color=gold>GÊu Manh Manh-§Ñp<color><enter>§©y lµ loµi thó l¹ hiÕm cã, dÜ nhiªn ph¶i dµnh cho ng­êi giái nhÊt.	ĞÜÃ¨ÃÈÃÈ	M· Bµi	\script\item\yujian.lua	8	2	1		200000	999
Lõa Kh¨n §á-§Ñp	0	105	30160	1000	0	0	2500		state_move_speed_percent_add	800;377				10				\image\item\horse\Ã«Â¿36-³È.spr	\image\item\horse\Ã«Â¿120-³È.spr	<color=gold>Lõa Kh¨n §á-§Ñp<color><enter>Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê.	Ã«Â¿1	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Lõa Kh¨n Vµng-§Ñp	0	105	30161	1000	0	0	2500		state_move_speed_percent_add	800;378				10				\image\item\horse\Ã«Â¿36-»Æ.spr	\image\item\horse\Ã«Â¿120-»Æ.spr	<color=gold>Lõa Kh¨n Vµng-§Ñp<color><enter>Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê.	Ã«Â¿2	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Lõa Kh¨n Lam-§Ñp	0	105	30162	1000	0	0	2500		state_move_speed_percent_add	800;379				10				\image\item\horse\Ã«Â¿36-À¶.spr	\image\item\horse\Ã«Â¿120-À¶.spr	<color=gold>Lõa Kh¨n Lam-§Ñp<color><enter>Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê.	Ã«Â¿3	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Lõa Kh¨n Xanh-§Ñp	0	105	30163	1000	0	0	2500		state_move_speed_percent_add	800;380				10				\image\item\horse\Ã«Â¿36-ÂÌ.spr	\image\item\horse\Ã«Â¿120-ÂÌ.spr	<color=gold>Lõa Kh¨n Xanh-§Ñp<color><enter>Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê.	Ã«Â¿4	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
C¸o TuyÕt B¶y §u«i-§Ñp	0	105	30164	1000	0	0	2500		state_move_speed_percent_add	800;381				10			6	\image\item\horse\jiuweihu07a1.spr	\image\item\horse\jiuweihu07a0.spr	<color=gold>C¸o TuyÕt B¶y §u«i-§Ñp<color><enter>Vïng Thanh Kh©u cã loµi thó l¹, d¸ng nh­ c¸o mµ cã b¶y ®u«i.	ÆßÎ²ºü	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Xe TuyÕt §Şa Cùc-Rùc Rì	0	105	30165	1000	0	0	2500		state_move_speed_percent_add	800;382				10				\image\item\horse\Ñ©ÇÁ0136.spr	\image\item\horse\Ñ©ÇÁ01120.spr	<color=gold>Xe TuyÕt §Şa Cùc-Rùc Rì<color><enter>Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt.	Ñ©ÇÁ1	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Xe TuyÕt Tinh X¶o-Rùc Rì	0	105	30166	1000	0	0	2500		state_move_speed_percent_add	800;383				10				\image\item\horse\Ñ©ÇÁ0236.spr	\image\item\horse\Ñ©ÇÁ02120.spr	<color=gold>Xe TuyÕt Tinh X¶o-Rùc Rì<color><enter>Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt, ngo¹i h×nh tinh x¶o.	Ñ©ÇÁ2	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Xe TuyÕt Hµo Hoa-Rùc Rì	0	105	30167	1000	0	0	2500		state_move_speed_percent_add	800;384				10				\image\item\horse\Ñ©ÇÁ0336.spr	\image\item\horse\Ñ©ÇÁ03120.spr	<color=gold>Xe TuyÕt Hµo Hoa-Rùc Rì<color><enter>Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt, ngo¹i h×nh sang träng.	Ñ©ÇÁ3	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Xe TuyÕt §éc §¸o-Rùc Rì	0	105	30168	1000	0	0	2500		state_move_speed_percent_add	800;385				10				\image\item\horse\Ñ©ÇÁ0436.spr	\image\item\horse\Ñ©ÇÁ04120.spr	<color=gold>Xe TuyÕt §éc §¸o-Rùc Rì<color><enter>Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt.	Ñ©ÇÁ4	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Dª Tr¾ng S÷a-§Ñp	0	105	30169	1000	0	0	2500		state_move_speed_percent_add	800;386				10				\image\item\horse\×øÆïÑò2a1.spr	\image\item\horse\×øÆïÑò2a0.spr	<color=gold>Dª Tr¾ng S÷a-§Ñp<color><enter>Ng­êi ta lµ dª tr¾ng, kh«ng ph¶i dª s÷a nhĞ!	°×ÑòĞ¡ºÚ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
L¹c §µ Tr¾ng-§Ñp	0	105	30170	1000	0	0	2500		state_move_speed_percent_add	800;387				10				\image\item\horse\°×ÑòÍÕa1.spr	\image\item\horse\°×ÑòÍÕa0.spr	<color=gold>L¹c §µ Tr¾ng-§Ñp<color><enter>Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ.	°×ÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
L¹c §µ §en-§Ñp	0	105	30171	1000	0	0	2500		state_move_speed_percent_add	800;388				10				\image\item\horse\ºÚ°×ÑòÍÕa1.spr	\image\item\horse\ºÚ°×ÑòÍÕa0.spr	<color=gold>L¹c §µ §en-§Ñp<color><enter>Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ.	ºÚÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
L¹c §µ N©u-§Ñp	0	105	30172	1000	0	0	2500		state_move_speed_percent_add	800;389				10				\image\item\horse\»ÒÑòÍÕa1.spr	\image\item\horse\»ÒÑòÍÕa0.spr	<color=gold>L¹c §µ N©u-§Ñp<color><enter>Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ.	»ÒÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
L¹c §µ S÷a-§Ñp	0	105	30173	1000	0	0	2500		state_move_speed_percent_add	800;390				10				\image\item\horse\Èé°×ÑòÍÕa1.spr	\image\item\horse\Èé°×ÑòÍÕa0.spr	<color=gold>L¹c §µ S÷a-§Ñp<color><enter>Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ.	Èé°×ÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
B¹ch Anh-§Ñp	0	105	30174	1000	0	0	2500		state_move_speed_percent_add	800;391				10				\image\item\horse\baizelinshou01a1.spr	\image\item\horse\baizelinshou01a0.spr	<color=gold>B¹ch Anh-§Ñp<color><enter>Sèng trong rõng s©u trªn nói tuyÕt, İt khi ra ngoµi kiÕm ¨n. Cã lÏ cã hä hµng víi Linh Thó B¹ch Tr¹ch.	°×ĞÜ1	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
B¹ch Hoa-§Ñp	0	105	30175	1000	0	0	2500		state_move_speed_percent_add	800;392				10				\image\item\horse\baizelinshou02a1.spr	\image\item\horse\baizelinshou02a0.spr	<color=gold>B¹ch Hoa-§Ñp<color><enter>Sèng trong rõng s©u trªn nói tuyÕt, İt khi ra ngoµi kiÕm ¨n. Cã lÏ cã hä hµng víi Linh Thó B¹ch Tr¹ch.	°×ĞÜ2	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
B¹ch Khuª-§Ñp	0	105	30176	1000	0	0	2500		state_move_speed_percent_add	800;393				10				\image\item\horse\baizelinshou04a1.spr	\image\item\horse\baizelinshou04a0.spr	<color=gold>B¹ch Khuª-§Ñp<color><enter>Sèng trong rõng s©u trªn nói tuyÕt, İt khi ra ngoµi kiÕm ¨n. Cã lÏ cã hä hµng víi Linh Thó B¹ch Tr¹ch. Sau khi trang bŞ ®Çy ®ñ vò khİ gi¸p trô, khİ thÕ ngÊt trêi!	°×ĞÜ4	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Bİch Yªn KiÕm-Rùc Rì	0	105	30177	1000	0	0	2500		state_move_speed_percent_add	800;394				10				\image\item\horse\±ÌÓñº®ÑÌa1.spr	\image\item\horse\±ÌÓñº®ÑÌa0.spr	<color=gold>Bİch Yªn KiÕm-Rùc Rì<color><enter>§ªm qua giã thu ®Ïo cµnh, mét m×nh lÇu cao, ng¾m ch©n trêi xa th¼m. (TriÖu håi Bİch Yªn KiÕm, cã thÓ c­ìi kiÕm bay lªn)	±ÌÓñº®ÑÌ½£	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Long T­êng KiÕm-Rùc Rì	0	105	30178	1000	0	0	2500		state_move_speed_percent_add	800;395				10				\image\item\horse\ÁúÔ¨»ØÏèa1.spr	\image\item\horse\ÁúÔ¨»ØÏèa0.spr	<color=gold>Long T­êng KiÕm-Rùc Rì<color><enter>C­ìi rång bay l­în, cê xİ rîp trêi, xe tiªn lÊp l¸nh. (TriÖu håi Long T­êng KiÕm, cã thÓ c­ìi kiÕm bay lªn)	ÁúÔ¨»ØÏè½£	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Méc Ng­u L­u M·-Rùc Rì	0	105	30179	1000	0	0	2500		state_move_speed_percent_add	800;396				10				\image\item\horse\Ä¾Å£Á÷Âía1.spr	\image\item\horse\Ä¾Å£Á÷Âía0.spr	<color=gold>Méc Ng­u L­u M·-Rùc Rì<color><enter>Mét m×nh ®i vµi m­¬i dÆm, lïa theo bÇy ba m­¬i dÆm.	Ä¾Å£Á÷Âí	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Phong Nghª-§Ñp	0	105	30180	1000	0	0	2500		state_move_speed_percent_add	800;397				10				\image\item\horse\Ê¨×Ó2a1.spr	\image\item\horse\Ê¨×Ó2a0.spr	<color=gold>Phong Nghª-§Ñp<color><enter>VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, cã thÓ chØ huy mu«n thó.	·çâ¥	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Linh Nghª-§Ñp	0	105	30181	1000	0	0	2500		state_move_speed_percent_add	800;398				10				\image\item\horse\Ê¨×Ó3a1.spr	\image\item\horse\Ê¨×Ó3a0.spr	<color=gold>Linh Nghª-§Ñp<color><enter>VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, cã thÓ chØ huy mu«n thó.	Áéâ¥	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
ChiÕn Nghª-§Ñp	0	105	30182	1000	0	0	2500		state_move_speed_percent_add	800;399				10				\image\item\horse\Ê¨×Ó4a1.spr	\image\item\horse\Ê¨×Ó4a0.spr	<color=gold>ChiÕn Nghª-§Ñp<color><enter>VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, cã thÓ chØ huy mu«n thó.	Õ½â¥	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
