Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	Lùc phßng	PhÈm chÊt	L­u c	L­u d	L­u e	L­u f	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Gi¸ trŞ
Hµn S¬n Minh §iªu	0	115	5110	0	0	4	10						1611	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a0.spr	C¸i Bang TŞnh y - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	11		999
Truy Hån Minh §iªu	0	115	5120	0	0	5	10						1612	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a0.spr	C¸i Bang ¤ y - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	12		999
Th­¬ng H¶i Minh §iªu	0	115	5140	0	0	1	10						1614	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a0.spr	Vâ §ang §¹o Gia - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	14		999
§oan TŞnh Minh §iªu	0	115	5150	0	0	2	10						1615	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a0.spr	Vâ §ang Tôc Gia - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	15		999
Lang Phong Minh §iªu	0	115	5170	0	0	3	10						1617	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a0.spr	D­¬ng Gia Th­¬ng kş - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	17		999
Hoang Yªn Minh §iªu	0	115	5180	0	0	4	10						1618	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a0.spr	D­¬ng Gia Cung kş - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	18		999
Ngäc ThiÒm Minh §iªu	0	115	5200	0	0	5	10						1620	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a0.spr	Ngò §éc Tµ HiÖp - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	20		999
PhÖ T©m Minh §iªu	0	115	5210	0	0	1	10						1621	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a0.spr	Ngò §éc Cæ S­ - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	21		999
B·o Ngäc Minh §iªu	0	115	5230	0	0	2	10						1623	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a0.spr	C«n Lu©n Thiªn S­ - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	23		999
DuÖ Kim Minh §iªu	0	115	5250	0	0	3	10						1625	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a0.spr	Minh Gi¸o Th¸nh ChiÕn - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	25		999
HËu Thæ Minh §iªu	0	115	5260	0	0	4	10						1626	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a0.spr	Minh Gi¸o TrËn Binh - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	26		999
Hµn Miªn Minh §iªu	0	115	5270	0	0	5	10						1627	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a0.spr	Minh Gi¸o HuyÕt Nh©n - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	27		999
TrÇn H­¬ng Minh §iªu	0	115	5290	0	0	1	10						1629	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a0.spr	Thóy Yªn Vò Tiªn - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	29		999
Tiªn S¬ Minh §iªu	0	115	5300	0	0	2	10						1630	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a0.spr	Thóy Yªn Linh N÷ - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	30		999
T©n §é Minh §iªu	0	115	5310	0	0	3	10						1631	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a0.spr	§­êng M«n NhËm HiÖp - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	31		999
Du Quan Minh §iªu	0	115	5320	0	0	4	10						1632	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a0.spr	C«n L«n KiÕm T«n - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	32		999
Kİnh Minh ¶m Kh¾c	0	117	5021	0	0	2	10						1602	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a0.spr	ThiÕu L©m Tôc Gia - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	2		999
Kİnh T©m ¶m Kh¾c	0	117	5031	0	0	3	10						1603	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a0.spr	ThiÕu L©m ThiÒn T¨ng - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	3		999
Kİnh Thİnh ¶m Kh¾c	0	117	5041	0	0	4	10						1604	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a0.spr	ThiÕu L©m Vâ T«ng - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	4		999
Thiªn C¬ ¶m Kh¾c	0	117	5061	0	0	5	10						1606	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a0.spr	§­êng M«n - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	6		999
Kiªm Gia ¶m Kh¾c	0	117	5081	0	0	1	10						1608	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a0.spr	Nga Mi PhËt Gia - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	8		999
H¹m §¹m ¶m Kh¾c	0	117	5091	0	0	2	10						1609	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a0.spr	Nga Mi Tôc Gia - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	9		999
Hµn S¬n ¶m Kh¾c	0	117	5111	0	0	3	10						1611	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a0.spr	C¸i Bang TŞnh y - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	11		999
Truy Hån ¶m Kh¾c	0	117	5121	0	0	4	10						1612	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a0.spr	C¸i Bang ¤ y - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	12		999
Th­¬ng H¶i ¶m Kh¾c	0	117	5141	0	0	5	10						1614	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a0.spr	Vâ §ang §¹o Gia - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	14		999
§oan TŞnh ¶m Kh¾c	0	117	5151	0	0	1	10						1615	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a0.spr	Vâ §ang Tôc Gia - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	15		999
Lang Phong ¶m Kh¾c	0	117	5171	0	0	2	10						1617	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a0.spr	D­¬ng Gia Th­¬ng kş - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	17		999
Hoang Yªn ¶m Kh¾c	0	117	5181	0	0	3	10						1618	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a0.spr	D­¬ng Gia Cung kş - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	18		999
Ngäc ThiÒm ¶m Kh¾c	0	117	5201	0	0	4	10						1620	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a0.spr	Ngò §éc Tµ HiÖp - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	20		999
PhÖ T©m ¶m Kh¾c	0	117	5211	0	0	5	10						1621	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a0.spr	Ngò §éc Cæ S­ - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	21		999
B·o Ngäc ¶m Kh¾c	0	117	5231	0	0	1	10						1623	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a0.spr	C«n Lu©n Thiªn S­ - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	23		999
DuÖ Kim ¶m Kh¾c	0	117	5251	0	0	2	10						1625	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a0.spr	Minh Gi¸o Th¸nh ChiÕn - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	25		999
HËu Thæ ¶m Kh¾c	0	117	5261	0	0	3	10						1626	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a0.spr	Minh Gi¸o TrËn Binh - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	26		999
Hµn Miªn ¶m Kh¾c	0	117	5271	0	0	4	10						1627	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a0.spr	Minh Gi¸o HuyÕt Nh©n - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	27		999
TrÇn H­¬ng ¶m Kh¾c	0	117	5291	0	0	5	10						1629	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a0.spr	Thóy Yªn Vò Tiªn - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	29		999
Tiªn S¬ ¶m Kh¾c	0	117	5301	0	0	1	10						1630	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a0.spr	Thóy Yªn Linh N÷ - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	30		999
T©n §é ¶m Kh¾c	0	117	5311	0	0	2	10						1631	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a0.spr	§­êng M«n NhËm HiÖp - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	31		999
Du Quan ¶m Kh¾c	0	117	5321	0	0	3	10						1632	95				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a0.spr	C«n L«n KiÕm T«n - v¨n søc trang søc cÊp 5		V¨n Søc-Trang søc		5	1	1	32		999
